time (s)	pitch (rads)
0	-0.575222039
0.1	-0.574731703
0.2	-0.572918322
0.3	-0.56916444
0.4	-0.56289947
0.5	-0.553790436
0.6	-0.541848739
0.7	-0.527441171
0.8	-0.511215818
0.9	-0.493970958
1	-0.476504651
1.1	-0.459482593
1.2	-0.443352084
1.3	-0.428314125
1.4	-0.414348999
1.5	-0.401278146
1.6	-0.388839675
1.7	-0.376756793
1.8	-0.364785651
1.9	-0.352738087
2	-0.340482464
2.1	-0.327930519
2.2	-0.315019457
2.3	-0.30169693
2.4	-0.287913241
2.5	-0.273621495
2.6	-0.258783468
2.7	-0.243377585
2.8	-0.227405433
2.9	-0.210894461
3	-0.193896094
3.1	-0.176480076
3.2	-0.158726766
3.3	-0.140719304
3.4	-0.122537104
3.5	-0.104251499
3.6	-0.085923588
3.7	-0.067603881
3.8	-0.04933308
3.9	-0.031143362
4	-0.013059716
4.1	0.004898865
4.2	0.022718379
4.3	0.040388968
4.4	0.057904108
4.5	0.075259636
4.6	0.092452586
4.7	0.109479921
4.8	0.126337328
4.9	0.143018186
5	0.159512816
5.1	0.175808073
5.2	0.191887255
5.3	0.207730262
5.4	0.223313883
5.5	0.2386122
5.6	0.253597128
5.7	0.26823907
5.8	0.282507606
5.9	0.296372163
6	0.309802607
6.1	0.322769733
6.2	0.335245627
6.3	0.347203952
6.4	0.3586202
6.5	0.369471894
6.6	0.379738662
6.7	0.389402181
6.8	0.398445987
6.9	0.406855218
7	0.41461635
7.1	0.421716981
7.2	0.428145651
7.3	0.433891715
7.4	0.438945229
7.5	0.443296836
7.6	0.446937709
7.7	0.449859618
7.8	0.452055127
7.9	0.453517897
8	0.454243002
8.1	0.454227216
8.2	0.453469253
8.3	0.451970006
8.4	0.449732789
8.5	0.446763561
8.6	0.443071094
8.7	0.438667061
8.8	0.433565981
8.9	0.427785007
9	0.421343634
9.1	0.414263402
9.2	0.406567616
9.3	0.39828102
9.4	0.389429386
9.5	0.380039055
9.6	0.370136493
9.7	0.359747871
9.8	0.348898733
9.9	0.337613762
10	0.325916635
10.1	0.3138299
10.2	0.301374845
10.3	0.288571415
10.4	0.27543823
10.5	0.261992729
10.6	0.248251385
10.7	0.234229947
10.8	0.21994367
10.9	0.205407513
11	0.190636312
11.1	0.175644996
11.2	0.160448829
11.3	0.145063634
11.4	0.129505959
11.5	0.113793155
11.6	0.09794337
11.7	0.081975466
11.8	0.065908935
11.9	0.049763814
12	0.03356061
12.1	0.017320166
12.2	0.001063466
12.3	-0.015188588
12.4	-0.031415388
12.5	-0.047596757
12.6	-0.063713023
12.7	-0.079745032
12.8	-0.095674129
12.9	-0.111482152
13	-0.127151404
13.1	-0.142664582
13.2	-0.15800466
13.3	-0.173154705
13.4	-0.188097668
13.5	-0.202816197
13.6	-0.21729252
13.7	-0.23150839
13.8	-0.245445063
13.9	-0.259083271
14	-0.272403199
14.1	-0.285384488
14.2	-0.298006294
14.3	-0.310247434
14.4	-0.322086567
14.5	-0.333502397
14.6	-0.344473835
14.7	-0.354980127
14.8	-0.365000951
14.9	-0.374516538
15	-0.383507826
15.1	-0.391956621
15.2	-0.399845755
15.3	-0.407159197
15.4	-0.413882109
15.5	-0.420000881
15.6	-0.425503206
15.7	-0.43037821
15.8	-0.434616595
15.9	-0.438210755
16	-0.441154824
16.1	-0.443444675
16.2	-0.445077912
16.3	-0.446053853
16.4	-0.446373531
16.5	-0.44603971
16.6	-0.445056852
16.7	-0.443431014
16.8	-0.441169699
16.9	-0.438281713
17	-0.43477707
