Time(s)  FloatHeaveZ(m)  PlateHeaveZ(m)
0.000000 -0.720000 -21.500000
0.010000 -0.720000 -21.500000
0.020000 -0.720000 -21.499999
0.030000 -0.720000 -21.499998
0.040000 -0.720000 -21.499997
0.050000 -0.720000 -21.499996
0.060000 -0.720000 -21.499994
0.070000 -0.720000 -21.499992
0.080000 -0.720000 -21.499990
0.090000 -0.720000 -21.499988
0.100000 -0.720000 -21.499986
0.110000 -0.720000 -21.499984
0.120000 -0.720000 -21.499983
0.130000 -0.719999 -21.499982
0.140000 -0.719999 -21.499981
0.150000 -0.719999 -21.499981
0.160000 -0.719999 -21.499981
0.170000 -0.719999 -21.499981
0.180000 -0.719999 -21.499981
0.190000 -0.719999 -21.499981
0.200000 -0.719999 -21.499982
0.210000 -0.719999 -21.499983
0.220000 -0.719998 -21.499985
0.230000 -0.719998 -21.499988
0.240000 -0.719998 -21.499993
0.250000 -0.719998 -21.499999
0.260000 -0.719998 -21.500007
0.270000 -0.719998 -21.500014
0.280000 -0.719998 -21.500020
0.290000 -0.719999 -21.500026
0.300000 -0.719999 -21.500030
0.310000 -0.719999 -21.500035
0.320000 -0.719999 -21.500039
0.330000 -0.720000 -21.500044
0.340000 -0.720000 -21.500050
0.350000 -0.720000 -21.500057
0.360000 -0.720001 -21.500064
0.370000 -0.720001 -21.500073
0.380000 -0.720001 -21.500081
0.390000 -0.720002 -21.500089
0.400000 -0.720002 -21.500096
0.410000 -0.720003 -21.500103
0.420000 -0.720004 -21.500110
0.430000 -0.720004 -21.500118
0.440000 -0.720005 -21.500126
0.450000 -0.720006 -21.500134
0.460000 -0.720007 -21.500144
0.470000 -0.720008 -21.500153
0.480000 -0.720008 -21.500163
0.490000 -0.720009 -21.500173
0.500000 -0.720010 -21.500183
0.510000 -0.720012 -21.500193
0.520000 -0.720013 -21.500202
0.530000 -0.720014 -21.500212
0.540000 -0.720015 -21.500223
0.550000 -0.720016 -21.500233
0.560000 -0.720018 -21.500245
0.570000 -0.720019 -21.500256
0.580000 -0.720021 -21.500268
0.590000 -0.720022 -21.500280
0.600000 -0.720024 -21.500292
0.610000 -0.720025 -21.500305
0.620000 -0.720027 -21.500317
0.630000 -0.720029 -21.500330
0.640000 -0.720031 -21.500343
0.650000 -0.720032 -21.500356
0.660000 -0.720034 -21.500370
0.670000 -0.720036 -21.500384
0.680000 -0.720039 -21.500398
0.690000 -0.720041 -21.500413
0.700000 -0.720043 -21.500428
0.710000 -0.720045 -21.500443
0.720000 -0.720048 -21.500458
0.730000 -0.720050 -21.500474
0.740000 -0.720053 -21.500490
0.750000 -0.720055 -21.500506
0.760000 -0.720058 -21.500522
0.770000 -0.720061 -21.500539
0.780000 -0.720063 -21.500556
0.790000 -0.720066 -21.500574
0.800000 -0.720069 -21.500592
0.810000 -0.720072 -21.500610
0.820000 -0.720075 -21.500629
0.830000 -0.720079 -21.500648
0.840000 -0.720082 -21.500667
0.850000 -0.720085 -21.500687
0.860000 -0.720089 -21.500706
0.870000 -0.720092 -21.500727
0.880000 -0.720096 -21.500747
0.890000 -0.720100 -21.500768
0.900000 -0.720104 -21.500790
0.910000 -0.720107 -21.500812
0.920000 -0.720111 -21.500834
0.930000 -0.720116 -21.500856
0.940000 -0.720120 -21.500879
0.950000 -0.720124 -21.500902
0.960000 -0.720128 -21.500926
0.970000 -0.720133 -21.500950
0.980000 -0.720137 -21.500975
0.990000 -0.720142 -21.500999
1.000000 -0.720147 -21.501025
1.010000 -0.720152 -21.501050
1.020000 -0.720157 -21.501076
1.030000 -0.720162 -21.501103
1.040000 -0.720167 -21.501130
1.050000 -0.720172 -21.501157
1.060000 -0.720178 -21.501185
1.070000 -0.720183 -21.501213
1.080000 -0.720189 -21.501241
1.090000 -0.720194 -21.501270
1.100000 -0.720200 -21.501300
1.110000 -0.720206 -21.501330
1.120000 -0.720212 -21.501360
1.130000 -0.720218 -21.501391
1.140000 -0.720225 -21.501422
1.150000 -0.720231 -21.501454
1.160000 -0.720238 -21.501486
1.170000 -0.720244 -21.501519
1.180000 -0.720251 -21.501552
1.190000 -0.720258 -21.501586
1.200000 -0.720265 -21.501620
1.210000 -0.720272 -21.501654
1.220000 -0.720279 -21.501690
1.230000 -0.720286 -21.501725
1.240000 -0.720294 -21.501761
1.250000 -0.720302 -21.501798
1.260000 -0.720309 -21.501835
1.270000 -0.720317 -21.501873
1.280000 -0.720325 -21.501911
1.290000 -0.720333 -21.501949
1.300000 -0.720341 -21.501989
1.310000 -0.720350 -21.502028
1.320000 -0.720358 -21.502068
1.330000 -0.720367 -21.502109
1.340000 -0.720376 -21.502150
1.350000 -0.720385 -21.502192
1.360000 -0.720394 -21.502234
1.370000 -0.720403 -21.502277
1.380000 -0.720412 -21.502321
1.390000 -0.720422 -21.502365
1.400000 -0.720431 -21.502409
1.410000 -0.720441 -21.502454
1.420000 -0.720451 -21.502500
1.430000 -0.720461 -21.502546
1.440000 -0.720471 -21.502593
1.450000 -0.720481 -21.502640
1.460000 -0.720492 -21.502688
1.470000 -0.720502 -21.502737
1.480000 -0.720513 -21.502786
1.490000 -0.720524 -21.502836
1.500000 -0.720535 -21.502887
1.510000 -0.720546 -21.502938
1.520000 -0.720557 -21.502990
1.530000 -0.720569 -21.503042
1.540000 -0.720581 -21.503095
1.550000 -0.720592 -21.503149
1.560000 -0.720604 -21.503204
1.570000 -0.720616 -21.503259
1.580000 -0.720629 -21.503315
1.590000 -0.720641 -21.503371
1.600000 -0.720654 -21.503428
1.610000 -0.720667 -21.503486
1.620000 -0.720679 -21.503545
1.630000 -0.720693 -21.503604
1.640000 -0.720706 -21.503665
1.650000 -0.720719 -21.503726
1.660000 -0.720733 -21.503787
1.670000 -0.720747 -21.503850
1.680000 -0.720760 -21.503913
1.690000 -0.720775 -21.503977
1.700000 -0.720789 -21.504041
1.710000 -0.720803 -21.504107
1.720000 -0.720818 -21.504173
1.730000 -0.720833 -21.504240
1.740000 -0.720848 -21.504308
1.750000 -0.720863 -21.504376
1.760000 -0.720878 -21.504446
1.770000 -0.720894 -21.504516
1.780000 -0.720909 -21.504587
1.790000 -0.720925 -21.504659
1.800000 -0.720941 -21.504731
1.810000 -0.720957 -21.504804
1.820000 -0.720974 -21.504878
1.830000 -0.720990 -21.504953
1.840000 -0.721007 -21.505029
1.850000 -0.721024 -21.505105
1.860000 -0.721041 -21.505182
1.870000 -0.721059 -21.505260
1.880000 -0.721076 -21.505339
1.890000 -0.721094 -21.505418
1.900000 -0.721112 -21.505498
1.910000 -0.721130 -21.505579
1.920000 -0.721148 -21.505661
1.930000 -0.721167 -21.505743
1.940000 -0.721186 -21.505826
1.950000 -0.721205 -21.505910
1.960000 -0.721224 -21.505994
1.970000 -0.721243 -21.506079
1.980000 -0.721262 -21.506165
1.990000 -0.721282 -21.506251
2.000000 -0.721302 -21.506338
2.010000 -0.721322 -21.506426
2.020000 -0.721342 -21.506514
2.030000 -0.721362 -21.506603
2.040000 -0.721383 -21.506692
2.050000 -0.721404 -21.506782
2.060000 -0.721425 -21.506872
2.070000 -0.721446 -21.506963
2.080000 -0.721467 -21.507055
2.090000 -0.721489 -21.507147
2.100000 -0.721510 -21.507239
2.110000 -0.721532 -21.507331
2.120000 -0.721554 -21.507425
2.130000 -0.721576 -21.507518
2.140000 -0.721599 -21.507612
2.150000 -0.721621 -21.507706
2.160000 -0.721644 -21.507800
2.170000 -0.721667 -21.507895
2.180000 -0.721690 -21.507990
2.190000 -0.721713 -21.508085
2.200000 -0.721736 -21.508180
2.210000 -0.721760 -21.508276
2.220000 -0.721783 -21.508371
2.230000 -0.721807 -21.508467
2.240000 -0.721831 -21.508562
2.250000 -0.721855 -21.508658
2.260000 -0.721879 -21.508753
2.270000 -0.721903 -21.508849
2.280000 -0.721927 -21.508944
2.290000 -0.721952 -21.509040
2.300000 -0.721976 -21.509135
2.310000 -0.722001 -21.509230
2.320000 -0.722025 -21.509324
2.330000 -0.722050 -21.509419
2.340000 -0.722075 -21.509513
2.350000 -0.722100 -21.509607
2.360000 -0.722125 -21.509700
2.370000 -0.722150 -21.509794
2.380000 -0.722175 -21.509886
2.390000 -0.722200 -21.509979
2.400000 -0.722225 -21.510070
2.410000 -0.722251 -21.510162
2.420000 -0.722276 -21.510253
2.430000 -0.722301 -21.510343
2.440000 -0.722326 -21.510433
2.450000 -0.722351 -21.510522
2.460000 -0.722377 -21.510611
2.470000 -0.722402 -21.510699
2.480000 -0.722427 -21.510787
2.490000 -0.722452 -21.510874
2.500000 -0.722477 -21.510960
2.510000 -0.722502 -21.511046
2.520000 -0.722527 -21.511132
2.530000 -0.722552 -21.511216
2.540000 -0.722577 -21.511300
2.550000 -0.722602 -21.511384
2.560000 -0.722627 -21.511466
2.570000 -0.722651 -21.511548
2.580000 -0.722676 -21.511630
2.590000 -0.722700 -21.511711
2.600000 -0.722725 -21.511791
2.610000 -0.722749 -21.511871
2.620000 -0.722773 -21.511950
2.630000 -0.722797 -21.512028
2.640000 -0.722821 -21.512106
2.650000 -0.722844 -21.512183
2.660000 -0.722868 -21.512259
2.670000 -0.722891 -21.512335
2.680000 -0.722914 -21.512410
2.690000 -0.722937 -21.512485
2.700000 -0.722960 -21.512558
2.710000 -0.722983 -21.512632
2.720000 -0.723005 -21.512704
2.730000 -0.723027 -21.512776
2.740000 -0.723049 -21.512848
2.750000 -0.723071 -21.512919
2.760000 -0.723093 -21.512989
2.770000 -0.723114 -21.513058
2.780000 -0.723135 -21.513127
2.790000 -0.723156 -21.513196
2.800000 -0.723177 -21.513263
2.810000 -0.723197 -21.513330
2.820000 -0.723218 -21.513397
2.830000 -0.723238 -21.513463
2.840000 -0.723257 -21.513528
2.850000 -0.723277 -21.513593
2.860000 -0.723296 -21.513657
2.870000 -0.723315 -21.513721
2.880000 -0.723333 -21.513784
2.890000 -0.723351 -21.513847
2.900000 -0.723370 -21.513909
2.910000 -0.723387 -21.513970
2.920000 -0.723405 -21.514031
2.930000 -0.723422 -21.514091
2.940000 -0.723439 -21.514151
2.950000 -0.723455 -21.514211
2.960000 -0.723471 -21.514270
2.970000 -0.723487 -21.514328
2.980000 -0.723503 -21.514386
2.990000 -0.723518 -21.514443
3.000000 -0.723533 -21.514500
3.010000 -0.723548 -21.514557
3.020000 -0.723562 -21.514613
3.030000 -0.723576 -21.514669
3.040000 -0.723590 -21.514724
3.050000 -0.723603 -21.514779
3.060000 -0.723616 -21.514834
3.070000 -0.723628 -21.514888
3.080000 -0.723641 -21.514942
3.090000 -0.723653 -21.514995
3.100000 -0.723664 -21.515048
3.110000 -0.723675 -21.515101
3.120000 -0.723686 -21.515154
3.130000 -0.723697 -21.515206
3.140000 -0.723707 -21.515258
3.150000 -0.723717 -21.515310
3.160000 -0.723727 -21.515362
3.170000 -0.723736 -21.515413
3.180000 -0.723745 -21.515464
3.190000 -0.723753 -21.515515
3.200000 -0.723761 -21.515566
3.210000 -0.723769 -21.515616
3.220000 -0.723776 -21.515666
3.230000 -0.723783 -21.515716
3.240000 -0.723790 -21.515766
3.250000 -0.723797 -21.515816
3.260000 -0.723803 -21.515865
3.270000 -0.723808 -21.515914
3.280000 -0.723814 -21.515963
3.290000 -0.723819 -21.516012
3.300000 -0.723823 -21.516061
3.310000 -0.723828 -21.516109
3.320000 -0.723832 -21.516157
3.330000 -0.723835 -21.516205
3.340000 -0.723839 -21.516253
3.350000 -0.723842 -21.516301
3.360000 -0.723844 -21.516348
3.370000 -0.723847 -21.516395
3.380000 -0.723849 -21.516442
3.390000 -0.723850 -21.516489
3.400000 -0.723852 -21.516536
3.410000 -0.723853 -21.516583
3.420000 -0.723853 -21.516629
3.430000 -0.723854 -21.516676
3.440000 -0.723854 -21.516722
3.450000 -0.723853 -21.516768
3.460000 -0.723853 -21.516814
3.470000 -0.723852 -21.516860
3.480000 -0.723851 -21.516906
3.490000 -0.723849 -21.516951
3.500000 -0.723847 -21.516997
3.510000 -0.723845 -21.517042
3.520000 -0.723843 -21.517087
3.530000 -0.723840 -21.517133
3.540000 -0.723837 -21.517178
3.550000 -0.723833 -21.517223
3.560000 -0.723830 -21.517268
3.570000 -0.723826 -21.517313
3.580000 -0.723822 -21.517357
3.590000 -0.723817 -21.517402
3.600000 -0.723812 -21.517446
3.610000 -0.723807 -21.517491
