Time(s)  FairTen4(N)  FairTen5(N)  FairTen6(N)
0.000000 4287.740000 4287.740000 4287.740000
0.010000 8063.710000 8062.960000 8062.960000
0.020000 11386.500000 11385.400000 11385.400000
0.030000 14717.300000 14716.200000 14716.200000
0.040000 17866.800000 17865.700000 17865.700000
0.050000 20744.500000 20743.600000 20743.600000
0.060000 23466.600000 23467.800000 23467.800000
0.070000 28410.500000 28416.300000 28416.300000
0.080000 32396.300000 32397.200000 32397.200000
0.090000 34173.200000 34172.700000 34172.700000
0.100000 35429.200000 35429.600000 35429.600000
0.110000 66060.100000 66105.100000 66105.100000
0.120000 55314.900000 55283.200000 55283.200000
0.130000 44058.300000 44058.300000 44058.300000
0.140000 45619.000000 45625.800000 45625.800000
0.150000 46298.600000 46302.300000 46302.300000
0.160000 45497.000000 45500.900000 45500.900000
0.170000 44980.500000 44985.500000 44985.500000
0.180000 44726.300000 44731.700000 44731.700000
0.190000 48312.200000 48381.000000 48381.000000
0.200000 92921.600000 93208.100000 93208.100000
0.210000 95833.500000 95894.900000 95894.900000
0.220000 121568.000000 121756.000000 121756.000000
0.230000 119229.000000 119193.000000 119193.000000
0.240000 92536.700000 92323.400000 92323.400000
0.250000 46257.800000 45962.000000 45962.000000
0.260000 6111.130000 5936.310000 5936.310000
0.270000 4274.150000 4260.330000 4260.330000
0.280000 4450.820000 4462.460000 4462.460000
0.290000 7857.590000 7877.260000 7877.260000
0.300000 20725.000000 20787.700000 20787.700000
0.310000 50949.200000 51096.600000 51096.600000
0.320000 75911.300000 75991.000000 75991.000000
0.330000 84469.500000 84517.600000 84517.600000
0.340000 82467.300000 82476.800000 82476.800000
0.350000 67402.700000 67367.300000 67367.300000
0.360000 45023.600000 44966.900000 44966.900000
0.370000 25885.800000 25837.900000 25837.900000
0.380000 16567.200000 16542.700000 16542.700000
0.390000 18143.800000 18145.200000 18145.200000
0.400000 28813.900000 28839.000000 28839.000000
0.410000 44330.800000 44370.600000 44370.600000
0.420000 58844.500000 58886.400000 58886.400000
0.430000 67479.900000 67513.700000 67513.700000
0.440000 68147.900000 68168.500000 68168.500000
