WSM
F3OF
DT1
HEAVE
t(s)	HEAVE(m)
0.00000	-9.00000
0.10000	-9.00000
0.20000	-9.00000
0.30000	-8.99999
0.40000	-8.99999
0.50000	-8.99998
0.60000	-8.99997
0.70000	-8.99996
0.80000	-8.99994
0.90000	-8.99993
1.00000	-8.99991
1.10000	-8.99989
1.20000	-8.99987
1.30000	-8.99985
1.40000	-8.99983
1.50000	-8.99981
1.60000	-8.99978
1.70000	-8.99976
1.80000	-8.99973
1.90000	-8.99970
2.00000	-8.99967
2.10000	-8.99964
2.20000	-8.99961
2.30000	-8.99958
2.40000	-8.99955
2.50000	-8.99952
2.60000	-8.99949
2.70000	-8.99946
2.80000	-8.99943
2.90000	-8.99941
3.00000	-8.99938
3.10000	-8.99935
3.20000	-8.99933
3.30000	-8.99931
3.40000	-8.99929
3.50000	-8.99927
3.60000	-8.99925
3.70000	-8.99923
3.80000	-8.99922
3.90000	-8.99921
4.00000	-8.99920
4.10000	-8.99919
4.20000	-8.99919
4.30000	-8.99918
4.40000	-8.99918
4.50000	-8.99919
4.60000	-8.99919
4.70000	-8.99920
4.80000	-8.99920
4.90000	-8.99921
5.00000	-8.99923
5.10000	-8.99924
5.20000	-8.99926
5.30000	-8.99928
5.40000	-8.99930
5.50000	-8.99932
5.60000	-8.99935
5.70000	-8.99937
5.80000	-8.99940
5.90000	-8.99943
6.00000	-8.99946
6.10000	-8.99949
6.20000	-8.99953
6.30000	-8.99956
6.40000	-8.99960
6.50000	-8.99963
6.60000	-8.99967
6.70000	-8.99971
6.80000	-8.99974
6.90000	-8.99978
7.00000	-8.99981
7.10000	-8.99985
7.20000	-8.99989
7.30000	-8.99992
7.40000	-8.99995
7.50000	-8.99998
7.60000	-9.00001
7.70000	-9.00004
7.80000	-9.00007
7.90000	-9.00009
8.00000	-9.00011
8.10000	-9.00013
8.20000	-9.00015
8.30000	-9.00016
8.40000	-9.00018
8.50000	-9.00019
8.60000	-9.00020
8.70000	-9.00020
8.80000	-9.00021
8.90000	-9.00021
9.00000	-9.00021
9.10000	-9.00021
9.20000	-9.00021
9.30000	-9.00020
9.40000	-9.00020
9.50000	-9.00019
9.60000	-9.00018
9.70000	-9.00017
9.80000	-9.00017
9.90000	-9.00016
10.00000	-9.00015
