Time (s)	ProteusDS (Lin)	InWave (Lin)	Marin (NLin)	NREL (CFD)	WavEC (Lin)	InWave+H (Lin)
0.01	1.000000	0.993833055	0.999803536	1.000000	1.000000	0.999950
0.02	0.999902	0.993731373	0.99941065	0.999898	0.999900	0.99975
0.03	0.999608	0.993438999	0.998821429	0.999606	0.999700	0.99936
0.04	0.999117	0.992951787	0.998036	0.999119	0.999200	0.99877
0.05	0.998431	0.992269855	0.997054532	0.998437	0.998500	0.99799
0.06	0.997548	0.991393347	0.995877237	0.997561	0.997700	0.99701
0.07	0.996470	0.990322439	0.994504369	0.996490	0.996600	0.99583
0.08	0.995196	0.989057384	0.992936222	0.995225	0.995400	0.99446
0.09	0.993728	0.987598463	0.991173134	0.993766	0.993900	0.9929
0.1	0.992064	0.98594598	0.989215481	0.992114	0.992300	0.99114
0.11	0.990205	0.984100298	0.987063683	0.990269	0.990400	0.98918
0.12	0.988153	0.982061822	0.984718202	0.988230	0.988400	0.98704
0.13	0.985906	0.979830994	0.982179539	0.986000	0.986200	0.98469
0.14	0.983467	0.977408306	0.979448237	0.983577	0.983800	0.98216
0.15	0.980834	0.974794287	0.976524881	0.980963	0.981200	0.97943
0.16	0.978009	0.971989511	0.973410094	0.978159	0.978400	0.97651
0.17	0.974993	0.968994586	0.970104544	0.975164	0.975400	0.9734
0.18	0.971785	0.965810173	0.966608936	0.971979	0.972200	0.9701
0.19	0.968387	0.962436962	0.962924016	0.968606	0.968800	0.96661
0.2	0.964799	0.958875693	0.959050572	0.965045	0.965300	0.96294
0.21	0.961023	0.955127142	0.954989429	0.961297	0.961500	0.95907
0.22	0.957058	0.951192128	0.950741455	0.957362	0.957600	0.95502
0.23	0.952905	0.94707151	0.946307556	0.953241	0.953400	0.95078
0.24	0.948567	0.942766186	0.941688677	0.948936	0.949100	0.94635
0.25	0.944042	0.938277096	0.936885803	0.944446	0.944600	0.94174
0.26	0.939334	0.933605219	0.931899957	0.939775	0.939900	0.93695
0.27	0.934441	0.928751573	0.926732204	0.934921	0.935100	0.93197
0.28	0.929366	0.923717218	0.921383644	0.929886	0.930000	0.92681
0.29	0.924109	0.918503249	0.915855416	0.924672	0.924800	0.92148
0.3	0.918672	0.913110802	0.910148699	0.919280	0.919400	0.91596
0.31	0.913055	0.907541053	0.904264708	0.913710	0.913800	0.91026
0.32	0.907260	0.901795214	0.898204696	0.907964	0.908000	0.90439
0.33	0.901288	0.895874535	0.891969954	0.902043	0.902100	0.89835
0.34	0.895141	0.889780304	0.885561809	0.895949	0.896000	0.89213
0.35	0.888819	0.883513847	0.878981626	0.889683	0.889700	0.88574
0.36	0.882324	0.877076527	0.872230806	0.883245	0.883200	0.87917
0.37	0.875657	0.870469743	0.865310786	0.876639	0.876600	0.87244
0.38	0.868820	0.86369493	0.858223038	0.869864	0.869800	0.86554
0.39	0.861814	0.85675356	0.850969072	0.862922	0.862800	0.85847
0.4	0.854641	0.849647139	0.843550432	0.855816	0.855600	0.85123
0.41	0.847302	0.84237721	0.835968695	0.848546	0.848300	0.84384
0.42	0.839798	0.834945349	0.828225476	0.841114	0.840900	0.83628
0.43	0.832132	0.827353169	0.820322421	0.833522	0.833200	0.82856
0.44	0.824305	0.819602313	0.812261214	0.825772	0.825400	0.82068
0.45	0.816318	0.811694463	0.804043569	0.817864	0.817500	0.81264
0.46	0.808173	0.803631329	0.795671234	0.809801	0.809400	0.80445
0.47	0.799873	0.795414657	0.787145991	0.801584	0.801100	0.79611
0.48	0.791417	0.787046225	0.778469654	0.793216	0.792700	0.78761
