Time (s)	ProteusDS (Lin)	InWave (Lin)	Marin (NLin)	NREL (CFD)	WavEC (Lin)	InWave+H (Lin)
0.49	0.782810	0.778527841	0.769644068	0.784698	0.784100	0.77896
0.5	0.774052	0.769861346	0.760671112	0.776032	0.775400	0.77017
0.51	0.765145	0.761048614	0.751552693	0.767220	0.766500	0.76123
0.52	0.756090	0.752091545	0.742290752	0.758263	0.757500	0.75215
0.53	0.746891	0.742992073	0.732887259	0.749164	0.748400	0.74292
0.54	0.737549	0.73375216	0.723344214	0.739925	0.739100	0.73355
0.55	0.728066	0.724373797	0.713663649	0.730547	0.729600	0.72405
0.56	0.718444	0.714859005	0.70384762	0.721033	0.720000	0.71441
0.57	0.708684	0.705209832	0.693898218	0.711384	0.710300	0.70464
0.58	0.698790	0.695428354	0.683817558	0.701603	0.700500	0.69473
0.59	0.688763	0.685516673	0.673607785	0.691693	0.690500	0.68469
0.6	0.678605	0.675476921	0.66327107	0.681654	0.680400	0.67453
0.61	0.668319	0.665311253	0.652809612	0.671489	0.670100	0.66424
0.62	0.657906	0.655021851	0.642225637	0.661201	0.659800	0.65383
0.63	0.647369	0.644610922	0.631521395	0.650791	0.649300	0.6433
0.64	0.636710	0.634080696	0.620699163	0.640262	0.638700	0.63265
0.65	0.625932	0.623433431	0.609761242	0.629616	0.628000	0.62188
0.66	0.615036	0.612671405	0.598709955	0.618855	0.617100	0.611
0.67	0.604025	0.601796919	0.58754765	0.607982	0.606200	0.60001
0.68	0.592902	0.590812299	0.576276698	0.596999	0.595100	0.5889
0.69	0.581668	0.579719891	0.564899492	0.585908	0.583900	0.57769
0.7	0.570327	0.568522062	0.553418448	0.574712	0.572700	0.56638
0.71	0.558880	0.557221201	0.541836001	0.563413	0.561300	0.55497
0.72	0.547330	0.545819717	0.530154608	0.552013	0.549800	0.54345
0.73	0.535679	0.534320037	0.518376747	0.540515	0.538200	0.53184
0.74	0.523931	0.522724609	0.506504915	0.528922	0.526500	0.52013
0.75	0.512087	0.511035898	0.494541626	0.517235	0.514700	0.50833
0.76	0.500149	0.499256389	0.482489417	0.505458	0.502900	0.49645
0.77	0.488122	0.487388581	0.470350839	0.493592	0.490900	0.48447
0.78	0.476006	0.475434992	0.458128461	0.481641	0.478900	0.47241
0.79	0.463805	0.463398157	0.445824871	0.469607	0.466700	0.46027
0.8	0.451522	0.451280624	0.433442672	0.457492	0.454500	0.44805
0.81	0.439158	0.439084956	0.420984481	0.445299	0.442200	0.43575
0.82	0.426717	0.426813734	0.408452933	0.433031	0.429900	0.42338
0.83	0.414201	0.414469548	0.395850675	0.420689	0.417400	0.41093
0.84	0.401613	0.402055003	0.383180369	0.408278	0.404900	0.39842
0.85	0.388956	0.389572718	0.37044469	0.395799	0.392300	0.38584
0.86	0.376231	0.377025321	0.357646325	0.383255	0.379700	0.3732
0.87	0.363443	0.364415454	0.344787976	0.370648	0.367000	0.3605
0.88	0.350594	0.351745769	0.331872352	0.357982	0.354200	0.34774
0.89	0.337686	0.339018925	0.318902177	0.345259	0.341400	0.33492
0.9	0.324722	0.326237596	0.305880181	0.332481	0.328500	0.32205
0.91	0.311705	0.313404459	0.292809107	0.319652	0.315600	0.30914
0.92	0.298637	0.300522204	0.279691702	0.306774	0.302600	0.29617
0.93	0.285523	0.287593526	0.266530725	0.293849	0.289600	0.28316
0.94	0.272363	0.274621126	0.253328937	0.280881	0.276500	0.27011
0.95	0.259162	0.261607715	0.240089108	0.267872	0.263400	0.25702
0.96	0.245921	0.248556007	0.226814014	0.254825	0.250200	0.24389
0.97	0.232645	0.235468721	0.213506435	0.241742	0.237000	0.23073
0.98	0.219334	0.222348582	0.200169154	0.228627	0.223800	0.21754
0.99	0.205994	0.209198317	0.186804961	0.215482	0.210600	0.20432
1	0.192625	0.196020658	0.173416646	0.202309	0.197300	0.19107
1.01	0.179231	0.182818339	0.160007002	0.189112	0.184000	0.1778
1.02	0.165815	0.169594096	0.146578825	0.175893	0.170600	0.16451
1.03	0.152380	0.156350666	0.133134911	0.162655	0.157300	0.15121
1.04	0.138929	0.143090788	0.119678057	0.149400	0.143900	0.13789
1.05	0.125463	0.129817199	0.10621106	0.136132	0.130600	0.12456
1.06	0.111987	0.116532637	0.092736715	0.122854	0.117200	0.11122
1.07	0.098503	0.10323984	0.079257818	0.109567	0.103800	0.09788
1.08	0.085014	0.089941543	0.06577716	0.096275	0.090400	0.08453
1.09	0.071523	0.076640477	0.052297532	0.082980	0.077000	0.07118
1.1	0.058032	0.063339374	0.038821721	0.069685	0.063600	0.05784
1.11	0.044545	0.05004096	0.025352508	0.056393	0.050200	0.0445
1.12	0.031064	0.036747957	0.011892672	0.043106	0.036800	0.03117
1.13	0.017592	0.023463084	-0.001555014	0.029828	0.023400	0.01784
1.14	0.004132	0.010189051	-0.014987783	0.016561	0.010100	0.00454
1.15	-0.009313	-0.003071433	-0.028402875	0.003307	-0.003300	-0.00876
1.16	-0.022741	-0.01631567	-0.041797537	-0.009930	-0.016600	-0.02203
1.17	-0.036148	-0.029540966	-0.055169025	-0.023148	-0.029900	-0.03528
1.18	-0.049532	-0.042744635	-0.068514607	-0.036345	-0.043200	-0.04851
1.19	-0.062891	-0.055924001	-0.081831555	-0.049517	-0.056500	-0.06171
1.2	-0.076220	-0.069076395	-0.095117157	-0.062662	-0.069700	-0.07488
1.21	-0.089518	-0.082199159	-0.108368708	-0.075777	-0.083000	-0.08802
1.22	-0.102782	-0.095289644	-0.121583517	-0.088860	-0.096100	-0.10112
1.23	-0.116009	-0.108345211	-0.134758904	-0.101908	-0.109300	-0.11419
1.24	-0.129195	-0.121363233	-0.147892202	-0.114918	-0.122400	-0.12721
1.25	-0.142340	-0.134341095	-0.160980757	-0.127888	-0.135400	-0.14019
1.26	-0.155439	-0.147276193	-0.174021929	-0.140815	-0.148400	-0.15313
1.27	-0.168490	-0.160165938	-0.187013093	-0.153697	-0.161400	-0.16602
1.28	-0.181490	-0.173007751	-0.199951638	-0.166530	-0.174300	-0.17885
1.29	-0.194437	-0.18579907	-0.212834969	-0.179313	-0.187200	-0.19164
1.3	-0.207328	-0.198537346	-0.225660507	-0.192043	-0.200000	-0.20437
1.31	-0.220161	-0.211220045	-0.238425691	-0.204717	-0.212700	-0.21704
1.32	-0.232932	-0.223844649	-0.251127974	-0.217333	-0.225400	-0.22964
1.33	-0.245639	-0.236408655	-0.26376483	-0.229889	-0.238100	-0.24219
1.34	-0.258280	-0.248909579	-0.27633375	-0.242381	-0.250600	-0.25467
1.35	-0.270852	-0.261344951	-0.288832242	-0.254808	-0.263100	-0.26708
1.36	-0.283352	-0.273712321	-0.301257837	-0.267166	-0.275600	-0.27942
1.37	-0.295778	-0.286009256	-0.313608083	-0.279454	-0.287900	-0.29168
1.38	-0.308128	-0.298233342	-0.325880549	-0.291670	-0.300200	-0.30387
1.39	-0.320398	-0.310382183	-0.338072824	-0.303809	-0.312400	-0.31598
1.4	-0.332587	-0.322453404	-0.350182521	-0.315872	-0.324500	-0.32801
1.41	-0.344691	-0.33444465	-0.362207273	-0.327854	-0.336500	-0.33996
1.42	-0.356709	-0.346353586	-0.374144737	-0.339754	-0.348500	-0.35182
1.43	-0.368637	-0.358177899	-0.385992593	-0.351569	-0.360400	-0.3636
1.44	-0.380475	-0.369915296	-0.397748547	-0.363297	-0.372100	-0.37528
1.45	-0.392218	-0.381563507	-0.409410326	-0.374936	-0.383800	-0.38687
1.46	-0.403865	-0.393120284	-0.420975684	-0.386484	-0.395400	-0.39837
1.47	-0.415414	-0.404583403	-0.432442399	-0.397938	-0.406900	-0.40977
1.48	-0.426862	-0.415950662	-0.443808277	-0.409296	-0.418300	-0.42107
1.49	-0.438207	-0.427219884	-0.455071147	-0.420556	-0.429600	-0.43227
1.5	-0.449447	-0.438388916	-0.466228866	-0.431715	-0.440800	-0.44337
1.51	-0.460579	-0.449455627	-0.477279318	-0.442773	-0.451900	-0.45436
1.52	-0.471602	-0.460417916	-0.488220414	-0.453726	-0.462900	-0.46525
1.53	-0.482512	-0.471273704	-0.499050091	-0.464573	-0.473700	-0.47602
1.54	-0.493309	-0.482020937	-0.509766316	-0.475311	-0.484500	-0.48668
1.55	-0.503990	-0.492657592	-0.520367085	-0.485938	-0.495100	-0.49723
1.56	-0.514553	-0.503181668	-0.53085042	-0.496453	-0.505700	-0.50767
1.57	-0.524995	-0.513591193	-0.541214374	-0.506854	-0.516100	-0.51798
1.58	-0.535315	-0.523884223	-0.551457029	-0.517138	-0.526400	-0.52818
1.59	-0.545511	-0.53405884	-0.561576496	-0.527303	-0.536500	-0.53825
1.6	-0.555580	-0.544113157	-0.571570918	-0.537349	-0.546600	-0.5482
1.61	-0.565521	-0.554045313	-0.581438466	-0.547272	-0.556500	-0.55803
1.62	-0.575332	-0.563853476	-0.591177343	-0.557071	-0.566300	-0.56773
1.63	-0.585012	-0.573535846	-0.600785782	-0.566745	-0.576000	-0.5773
1.64	-0.594557	-0.583090649	-0.610262049	-0.576291	-0.585500	-0.58674
1.65	-0.603966	-0.592516144	-0.61960444	-0.585708	-0.594900	-0.59605
1.66	-0.613238	-0.601810618	-0.628811284	-0.594994	-0.604200	-0.60522
1.67	-0.622371	-0.61097239	-0.637880941	-0.604147	-0.613300	-0.61426
1.68	-0.631362	-0.61999981	-0.646811803	-0.613167	-0.622300	-0.62316
1.69	-0.640211	-0.628891257	-0.655602296	-0.622050	-0.631200	-0.63192
1.7	-0.648916	-0.637645144	-0.66425088	-0.630796	-0.639900	-0.64054
1.71	-0.657475	-0.646259914	-0.672756044	-0.639403	-0.648400	-0.64902
1.72	-0.665887	-0.654734043	-0.681116315	-0.647869	-0.656900	-0.65735
1.73	-0.674150	-0.66306604	-0.689330253	-0.656193	-0.665100	-0.66554
1.74	-0.682262	-0.671254445	-0.69739645	-0.664374	-0.673300	-0.67358
1.75	-0.690222	-0.679297831	-0.705313534	-0.672410	-0.681300	-0.68148
1.76	-0.698029	-0.687194806	-0.713080168	-0.680300	-0.689100	-0.68922
1.77	-0.705682	-0.694944008	-0.720695048	-0.688042	-0.696800	-0.69682
1.78	-0.713178	-0.702544111	-0.728156907	-0.695635	-0.704300	-0.70426
1.79	-0.720517	-0.709993822	-0.73546451	-0.703078	-0.711700	-0.71155
1.8	-0.727697	-0.717291883	-0.74261666	-0.710370	-0.718900	-0.71869
1.81	-0.734717	-0.724437067	-0.749612193	-0.717509	-0.726000	-0.72567
1.82	-0.741576	-0.731428186	-0.756449982	-0.724494	-0.732900	-0.73249
1.83	-0.748272	-0.738264083	-0.763128934	-0.731324	-0.739600	-0.73916
1.84	-0.754804	-0.744943637	-0.769647993	-0.737998	-0.746200	-0.74566
1.85	-0.761172	-0.751465761	-0.776006138	-0.744514	-0.752600	-0.75201
1.86	-0.767373	-0.757829405	-0.782202384	-0.750873	-0.758900	-0.75819
1.87	-0.773408	-0.764033553	-0.788235782	-0.757072	-0.765000	-0.76422
1.88	-0.779275	-0.770077223	-0.794105419	-0.763110	-0.770900	-0.77007
1.89	-0.784973	-0.775959472	-0.799810417	-0.768988	-0.776700	-0.77577
1.9	-0.790501	-0.781679389	-0.805349936	-0.774704	-0.782300	-0.7813
1.91	-0.795858	-0.7872361	-0.810723171	-0.780256	-0.787800	-0.78667
1.92	-0.801044	-0.79262877	-0.815929353	-0.785645	-0.793000	-0.79187
1.93	-0.806057	-0.797856594	-0.820967751	-0.790869	-0.798100	-0.7969
1.94	-0.810897	-0.802918808	-0.825837668	-0.795928	-0.803100	-0.80176
1.95	-0.815563	-0.807814683	-0.830538445	-0.800821	-0.807800	-0.80646
1.96	-0.820055	-0.812543525	-0.835069459	-0.805547	-0.812400	-0.81098
1.97	-0.824371	-0.817104677	-0.839430124	-0.810106	-0.816800	-0.81534
1.98	-0.828512	-0.821497519	-0.843619889	-0.814497	-0.821100	-0.81952
1.99	-0.832476	-0.825721468	-0.847638241	-0.818719	-0.825200	-0.82354
2	-0.836263	-0.829775975	-0.851484702	-0.822772	-0.829100	-0.82738
2.01	-0.839874	-0.833660529	-0.855158832	-0.826655	-0.832800	-0.83105
2.02	-0.843306	-0.837374658	-0.858660227	-0.830368	-0.836400	-0.83455
2.03	-0.846560	-0.840917922	-0.861988518	-0.833911	-0.839700	-0.83787
2.04	-0.849636	-0.844289921	-0.865143374	-0.837283	-0.842900	-0.84103
2.05	-0.852532	-0.847490291	-0.8681245	-0.840483	-0.846000	-0.844
2.06	-0.855250	-0.850518704	-0.870931637	-0.843512	-0.848800	-0.84681
2.07	-0.857788	-0.853374869	-0.873564563	-0.846369	-0.851500	-0.84944
2.08	-0.860147	-0.856058532	-0.876023091	-0.849054	-0.854000	-0.85189
2.09	-0.862326	-0.858569475	-0.87830707	-0.851566	-0.856300	-0.85418
2.1	-0.864325	-0.860907517	-0.880416388	-0.853906	-0.858500	-0.85628
2.11	-0.866144	-0.863072513	-0.882350965	-0.856073	-0.860500	-0.85822
2.12	-0.867783	-0.865064355	-0.88411076	-0.858067	-0.862300	-0.85997
2.13	-0.869240	-0.866882971	-0.885695766	-0.859889	-0.863900	-0.86156
2.14	-0.870517	-0.868528327	-0.887106013	-0.861537	-0.865300	-0.86297
2.15	-0.871614	-0.870000424	-0.888341566	-0.863013	-0.866600	-0.8642
2.16	-0.872530	-0.871299297	-0.889402525	-0.864316	-0.867700	-0.86526
2.17	-0.873266	-0.872425023	-0.890289027	-0.865446	-0.868600	-0.86614
2.18	-0.873823	-0.873377708	-0.891001243	-0.866404	-0.869300	-0.86685
2.19	-0.874199	-0.8741575	-0.891539379	-0.867189	-0.869900	-0.86739
2.2	-0.874396	-0.87476458	-0.891903679	-0.867802	-0.870300	-0.86775
2.21	-0.874413	-0.875199164	-0.892094418	-0.868242	-0.870500	-0.86794
2.22	-0.874251	-0.875461506	-0.892111907	-0.868511	-0.870500	-0.86795
2.23	-0.873911	-0.875551893	-0.891956494	-0.868608	-0.870400	-0.8678
2.24	-0.873391	-0.875470649	-0.891628558	-0.868534	-0.870100	-0.86746
2.25	-0.872694	-0.875218134	-0.891128516	-0.868290	-0.869600	-0.86696
2.26	-0.871819	-0.87479474	-0.890456816	-0.867874	-0.869000	-0.86629
2.27	-0.870767	-0.874200897	-0.889613941	-0.867289	-0.868100	-0.86544
2.28	-0.869539	-0.873437068	-0.88860041	-0.866534	-0.867100	-0.86443
2.29	-0.868135	-0.872503751	-0.887416771	-0.865610	-0.865900	-0.86324
2.3	-0.866557	-0.871401478	-0.886063611	-0.864518	-0.864600	-0.86188
2.31	-0.864804	-0.870130817	-0.884541547	-0.863257	-0.863100	-0.86036
2.32	-0.862877	-0.868692367	-0.88285123	-0.861829	-0.861400	-0.85866
2.33	-0.860777	-0.867086764	-0.880993343	-0.860235	-0.859500	-0.8568
2.34	-0.858504	-0.865314674	-0.878968602	-0.858474	-0.857500	-0.85478
2.35	-0.856060	-0.8633768	-0.876777758	-0.856548	-0.855300	-0.85258
2.36	-0.853446	-0.861273873	-0.874421591	-0.854458	-0.852900	-0.85022
2.37	-0.850662	-0.859006664	-0.871900914	-0.852203	-0.850400	-0.8477
2.38	-0.847710	-0.856575969	-0.869216573	-0.849786	-0.847700	-0.84501
2.39	-0.844590	-0.853982629	-0.866369444	-0.847206	-0.844800	-0.84216
2.4	-0.841303	-0.851227501	-0.863360436	-0.844465	-0.841800	-0.83915
2.41	-0.837851	-0.848311488	-0.860190488	-0.841564	-0.838600	-0.83598
2.42	-0.834233	-0.845235513	-0.85686057	-0.838503	-0.835300	-0.83264
2.43	-0.830453	-0.842000537	-0.853371683	-0.835283	-0.831800	-0.82915
2.44	-0.826509	-0.838607551	-0.849724858	-0.831906	-0.828100	-0.8255
2.45	-0.822404	-0.835057577	-0.845921156	-0.828373	-0.824300	-0.8217
2.46	-0.818139	-0.831351667	-0.841961669	-0.824684	-0.820300	-0.81773
2.47	-0.813716	-0.827490904	-0.837847518	-0.820840	-0.816100	-0.81362
2.48	-0.809134	-0.8234764	-0.833579852	-0.816843	-0.811800	-0.80935
2.49	-0.804397	-0.819309298	-0.829159851	-0.812694	-0.807400	-0.80493
2.5	-0.799504	-0.814990769	-0.824588722	-0.808394	-0.802800	-0.80035
2.51	-0.794458	-0.810522015	-0.819867702	-0.803944	-0.798000	-0.79563
2.52	-0.789259	-0.805904264	-0.814998056	-0.799345	-0.793100	-0.79076
2.53	-0.783909	-0.801138776	-0.809981075	-0.794599	-0.788100	-0.78575
2.54	-0.778408	-0.796226834	-0.804818081	-0.789708	-0.782900	-0.78058
2.55	-0.772760	-0.791169755	-0.799510419	-0.784671	-0.777500	-0.77528
2.56	-0.766965	-0.785968878	-0.794059464	-0.779491	-0.772000	-0.76983
2.57	-0.761025	-0.780625572	-0.788466617	-0.774169	-0.766400	-0.76423
2.58	-0.754941	-0.775141232	-0.782733305	-0.768706	-0.760600	-0.7585
2.59	-0.748715	-0.76951728	-0.776860981	-0.763104	-0.754700	-0.75263
2.6	-0.742348	-0.763755162	-0.770851124	-0.757365	-0.748600	-0.74663
2.61	-0.735843	-0.757856353	-0.764705238	-0.751489	-0.742400	-0.74048
2.62	-0.729200	-0.75182235	-0.758424852	-0.745478	-0.736100	-0.73421
2.63	-0.722422	-0.745654676	-0.752011519	-0.739334	-0.729600	-0.7278
2.64	-0.715510	-0.739354879	-0.745466818	-0.733058	-0.723000	-0.72126
2.65	-0.708465	-0.73292453	-0.738792351	-0.726652	-0.716300	-0.71459
2.66	-0.701290	-0.726365226	-0.731989744	-0.720118	-0.709400	-0.7078
2.67	-0.693987	-0.719678586	-0.725060645	-0.713456	-0.702500	-0.70088
2.68	-0.686556	-0.712866252	-0.718006725	-0.706669	-0.695300	-0.69383
2.69	-0.679001	-0.705929887	-0.71082968	-0.699759	-0.688100	-0.68667
2.7	-0.671323	-0.698871179	-0.703531226	-0.692726	-0.680800	-0.67938
2.71	-0.663524	-0.691691835	-0.6961131	-0.685573	-0.673300	-0.67197
2.72	-0.655606	-0.684393587	-0.688577063	-0.678301	-0.665700	-0.66445
2.73	-0.647570	-0.676978184	-0.680924895	-0.670913	-0.658000	-0.65681
2.74	-0.639419	-0.669447397	-0.673158397	-0.663410	-0.650100	-0.64906
2.75	-0.631154	-0.661803019	-0.665279391	-0.655793	-0.642200	-0.6412
2.76	-0.622777	-0.654046859	-0.657289719	-0.648065	-0.634100	-0.63322
2.77	-0.614292	-0.646180748	-0.64919124	-0.640227	-0.626000	-0.62514
2.78	-0.605699	-0.638206535	-0.640985836	-0.632281	-0.617700	-0.61696
2.79	-0.597000	-0.630126088	-0.632675404	-0.624229	-0.609300	-0.60867
2.8	-0.588198	-0.621941291	-0.624261861	-0.616073	-0.600900	-0.60027
2.81	-0.579295	-0.613654048	-0.615747141	-0.607815	-0.592300	-0.59178
2.82	-0.570293	-0.605266278	-0.607133193	-0.599457	-0.583600	-0.58319
2.83	-0.561194	-0.596779919	-0.598421986	-0.591001	-0.574800	-0.57451
2.84	-0.552000	-0.588196922	-0.589615503	-0.582448	-0.566000	-0.56573
2.85	-0.542712	-0.579519256	-0.580715744	-0.573800	-0.557000	-0.55685
2.86	-0.533334	-0.570748905	-0.571724724	-0.565060	-0.548000	-0.54789
2.87	-0.523868	-0.561887867	-0.562644471	-0.556230	-0.538800	-0.53884
2.88	-0.514315	-0.552938155	-0.55347703	-0.547311	-0.529600	-0.52971
2.89	-0.504679	-0.543901797	-0.54422446	-0.538305	-0.520300	-0.52049
2.9	-0.494961	-0.534780831	-0.534888833	-0.529215	-0.510900	-0.51119
2.91	-0.485164	-0.525577312	-0.525472232	-0.520043	-0.501400	-0.50181
2.92	-0.475290	-0.516293305	-0.515976756	-0.510790	-0.491800	-0.49235
2.93	-0.465341	-0.506930888	-0.506404514	-0.501459	-0.482200	-0.48282
2.94	-0.455320	-0.497492151	-0.496757629	-0.492052	-0.472500	-0.47321
2.95	-0.445228	-0.487979193	-0.487038232	-0.482571	-0.462700	-0.46353
2.96	-0.435069	-0.478394126	-0.477248469	-0.473018	-0.452900	-0.45379
2.97	-0.424844	-0.468739072	-0.467390492	-0.463394	-0.443000	-0.44397
2.98	-0.414556	-0.459016161	-0.457466467	-0.453703	-0.433000	-0.4341
2.99	-0.404207	-0.449227535	-0.447478568	-0.443947	-0.422900	-0.42416
3	-0.393799	-0.439375341	-0.437428975	-0.434127	-0.412800	-0.41416
3.01	-0.383336	-0.429461737	-0.427319882	-0.424245	-0.402700	-0.4041
3.02	-0.372819	-0.419488889	-0.417153488	-0.414305	-0.392500	-0.39399
3.03	-0.362250	-0.40945897	-0.406931999	-0.404307	-0.382200	-0.38382
3.04	-0.351633	-0.399374158	-0.39665763	-0.394254	-0.371900	-0.3736
3.05	-0.340968	-0.38923664	-0.386332602	-0.384149	-0.361500	-0.36333
3.06	-0.330260	-0.379048607	-0.375959142	-0.373993	-0.351100	-0.35302
3.07	-0.319510	-0.368812257	-0.365539482	-0.363789	-0.340600	-0.34266
3.08	-0.308720	-0.358529792	-0.355075862	-0.353538	-0.330100	-0.33226
3.09	-0.297893	-0.348203419	-0.344570524	-0.343244	-0.319600	-0.32182
3.1	-0.287031	-0.337835349	-0.334025715	-0.332908	-0.309000	-0.31134
3.11	-0.276137	-0.327427796	-0.323443687	-0.322532	-0.298300	-0.30083
3.12	-0.265213	-0.316982977	-0.312826694	-0.312119	-0.287700	-0.29028
3.13	-0.254261	-0.306503113	-0.302176994	-0.301671	-0.277000	-0.2797
3.14	-0.243284	-0.295990425	-0.291496845	-0.291189	-0.266300	-0.2691
3.15	-0.232283	-0.285447139	-0.280788508	-0.280678	-0.255500	-0.25846
3.16	-0.221263	-0.274875478	-0.270054244	-0.270137	-0.244800	-0.24781
3.17	-0.210224	-0.264277669	-0.259296315	-0.259570	-0.234000	-0.23713
3.18	-0.199170	-0.253655937	-0.248516982	-0.248979	-0.223200	-0.22643
3.19	-0.188102	-0.24301251	-0.237718506	-0.238367	-0.212400	-0.21571
3.2	-0.177023	-0.23234961	-0.226903148	-0.227734	-0.201500	-0.20498
3.21	-0.165935	-0.221669464	-0.216073166	-0.217084	-0.190700	-0.19423
3.22	-0.154841	-0.210974293	-0.205230816	-0.206419	-0.179800	-0.18347
3.23	-0.143743	-0.200266317	-0.194378354	-0.195741	-0.168900	-0.17271
3.24	-0.132643	-0.189547755	-0.183518031	-0.185052	-0.158000	-0.16194
3.25	-0.121543	-0.178820821	-0.172652094	-0.174355	-0.147200	-0.15116
3.26	-0.110447	-0.168087727	-0.161782787	-0.163651	-0.136300	-0.14039
3.27	-0.099356	-0.15735068	-0.150912351	-0.152942	-0.125400	-0.12961
3.28	-0.088273	-0.146611883	-0.140043021	-0.142232	-0.114500	-0.11884
3.29	-0.077199	-0.135873534	-0.129177027	-0.131522	-0.103600	-0.10807
3.3	-0.066138	-0.125137828	-0.118316593	-0.120813	-0.092800	-0.09731
3.31	-0.055092	-0.11440695	-0.107463938	-0.110110	-0.081900	-0.08656
3.32	-0.044062	-0.103683082	-0.096621272	-0.099413	-0.071100	-0.07582
3.33	-0.033052	-0.092968399	-0.085790801	-0.088725	-0.060300	-0.06509
3.34	-0.022064	-0.082265068	-0.074974721	-0.078048	-0.049400	-0.05438
3.35	-0.011100	-0.07157525	-0.064175222	-0.067384	-0.038600	-0.04368
3.36	-0.000162	-0.060901096	-0.053394484	-0.056735	-0.027900	-0.03301
3.37	0.010747	-0.05024475	-0.04263468	-0.046104	-0.017100	-0.02236
3.38	0.021625	-0.039608348	-0.031897971	-0.035492	-0.006400	-0.01173
3.39	0.032470	-0.028994015	-0.021186512	-0.024902	0.004300	-0.00114
3.4	0.043279	-0.018403868	-0.010502445	-0.014336	0.015000	0.00943
3.41	0.054050	-0.007840012	0.000152098	-0.003795	0.025600	0.01997
3.42	0.064780	0.002695457	0.010774996	0.006718	0.036200	0.03048
3.43	0.075469	0.013200453	0.021364138	0.017200	0.046800	0.04095
3.44	0.086113	0.023672904	0.031917428	0.027651	0.057300	0.05139
3.45	0.096710	0.034110747	0.042432782	0.038068	0.067800	0.06178
3.46	0.107258	0.044511933	0.052908127	0.048448	0.078200	0.07214
3.47	0.117755	0.054874424	0.063341408	0.058790	0.088600	0.08245
