WSM
F3OF
DT2
SURGE
t(s)	SURGE(m)
0.00000	0.00000
0.10000	0.00102
0.20000	0.00476
0.30000	0.01227
0.40000	0.02428
0.50000	0.04106
0.60000	0.06252
0.70000	0.08837
0.80000	0.11833
0.90000	0.15219
1.00000	0.18981
1.10000	0.23107
1.20000	0.27583
1.30000	0.32382
1.40000	0.37470
1.50000	0.42801
1.60000	0.48324
1.70000	0.53981
1.80000	0.59714
1.90000	0.65462
2.00000	0.71165
2.10000	0.76763
2.20000	0.82198
2.30000	0.87412
2.40000	0.92353
2.50000	0.96968
2.60000	1.01213
2.70000	1.05045
2.80000	1.08429
2.90000	1.11333
3.00000	1.13730
3.10000	1.15600
3.20000	1.16924
3.30000	1.17691
3.40000	1.17891
3.50000	1.17521
3.60000	1.16579
3.70000	1.15071
3.80000	1.13004
3.90000	1.10391
4.00000	1.07247
4.10000	1.03595
4.20000	0.99459
4.30000	0.94870
4.40000	0.89864
4.50000	0.84479
4.60000	0.78760
4.70000	0.72754
4.80000	0.66514
4.90000	0.60094
5.00000	0.53552
5.10000	0.46945
5.20000	0.40334
5.30000	0.33779
5.40000	0.27337
5.50000	0.21067
5.60000	0.15021
5.70000	0.09252
5.80000	0.03807
5.90000	-0.01271
6.00000	-0.05946
6.10000	-0.10182
6.20000	-0.13952
6.30000	-0.17234
6.40000	-0.20009
6.50000	-0.22263
6.60000	-0.23988
6.70000	-0.25180
6.80000	-0.25839
6.90000	-0.25969
7.00000	-0.25578
7.10000	-0.24677
7.20000	-0.23281
7.30000	-0.21410
7.40000	-0.19084
7.50000	-0.16329
7.60000	-0.13175
7.70000	-0.09652
7.80000	-0.05797
7.90000	-0.01648
8.00000	0.02754
8.10000	0.07365
8.20000	0.12137
8.30000	0.17021
8.40000	0.21968
8.50000	0.26924
8.60000	0.31838
8.70000	0.36657
8.80000	0.41330
8.90000	0.45807
9.00000	0.50040
9.10000	0.53984
9.20000	0.57597
9.30000	0.60841
9.40000	0.63682
9.50000	0.66091
9.60000	0.68042
9.70000	0.69516
9.80000	0.70495
9.90000	0.70970
10.00000	0.70933
10.10000	0.70383
10.20000	0.69320
10.30000	0.67751
10.40000	0.65686
10.50000	0.63138
10.60000	0.60125
10.70000	0.56667
10.80000	0.52788
10.90000	0.48516
11.00000	0.43879
11.10000	0.38912
11.20000	0.33649
11.30000	0.28130
11.40000	0.22394
11.50000	0.16485
11.60000	0.10448
11.70000	0.04328
11.80000	-0.01826
11.90000	-0.07969
12.00000	-0.14050
12.10000	-0.20024
12.20000	-0.25845
12.30000	-0.31467
12.40000	-0.36850
12.50000	-0.41952
12.60000	-0.46739
12.70000	-0.51177
12.80000	-0.55237
12.90000	-0.58893
13.00000	-0.62123
13.10000	-0.64911
13.20000	-0.67242
13.30000	-0.69106
13.40000	-0.70498
13.50000	-0.71413
13.60000	-0.71854
13.70000	-0.71825
13.80000	-0.71334
13.90000	-0.70391
14.00000	-0.69010
14.10000	-0.67210
