WSM
F3OF
DT1
SURGE
t(s)	SURGE(m)
0.00000	5.00000
0.10000	4.99932
0.20000	4.99726
0.30000	4.99378
0.40000	4.98887
0.50000	4.98257
0.60000	4.97491
0.70000	4.96596
0.80000	4.95576
0.90000	4.94439
1.00000	4.93189
1.10000	4.91831
1.20000	4.90370
1.30000	4.88808
1.40000	4.87152
1.50000	4.85405
1.60000	4.83570
1.70000	4.81653
1.80000	4.79657
1.90000	4.77584
2.00000	4.75439
2.10000	4.73224
2.20000	4.70942
2.30000	4.68596
2.40000	4.66189
2.50000	4.63722
2.60000	4.61199
2.70000	4.58621
2.80000	4.55990
2.90000	4.53308
3.00000	4.50577
3.10000	4.47797
3.20000	4.44970
3.30000	4.42095
3.40000	4.39174
3.50000	4.36205
3.60000	4.33190
3.70000	4.30127
3.80000	4.27015
3.90000	4.23853
4.00000	4.20641
4.10000	4.17376
4.20000	4.14058
4.30000	4.10684
4.40000	4.07253
4.50000	4.03763
4.60000	4.00212
4.70000	3.96599
4.80000	3.92921
4.90000	3.89177
5.00000	3.85365
5.10000	3.81483
5.20000	3.77529
5.30000	3.73501
5.40000	3.69397
5.50000	3.65216
5.60000	3.60954
5.70000	3.56611
5.80000	3.52184
5.90000	3.47672
6.00000	3.43073
6.10000	3.38385
6.20000	3.33607
6.30000	3.28739
6.40000	3.23778
6.50000	3.18725
6.60000	3.13580
6.70000	3.08343
6.80000	3.03013
6.90000	2.97593
7.00000	2.92083
7.10000	2.86485
7.20000	2.80801
7.30000	2.75033
7.40000	2.69184
7.50000	2.63257
7.60000	2.57256
7.70000	2.51183
7.80000	2.45042
7.90000	2.38838
8.00000	2.32573
8.10000	2.26254
8.20000	2.19882
8.30000	2.13464
8.40000	2.07002
8.50000	2.00502
8.60000	1.93968
8.70000	1.87404
8.80000	1.80814
8.90000	1.74202
9.00000	1.67573
9.10000	1.60931
9.20000	1.54279
9.30000	1.47621
9.40000	1.40960
9.50000	1.34300
9.60000	1.27643
9.70000	1.20993
9.80000	1.14352
9.90000	1.07722
10.00000	1.01105
10.10000	0.94503
10.20000	0.87917
10.30000	0.81349
10.40000	0.74798
10.50000	0.68265
10.60000	0.61751
10.70000	0.55256
10.80000	0.48779
10.90000	0.42319
11.00000	0.35875
11.10000	0.29447
11.20000	0.23033
11.30000	0.16631
11.40000	0.10241
11.50000	0.03859
11.60000	-0.02515
11.70000	-0.08884
11.80000	-0.15250
11.90000	-0.21615
12.00000	-0.27981
12.10000	-0.34351
12.20000	-0.40725
12.30000	-0.47106
12.40000	-0.53497
12.50000	-0.59898
12.60000	-0.66311
12.70000	-0.72736
12.80000	-0.79177
12.90000	-0.85632
13.00000	-0.92102
13.10000	-0.98587
13.20000	-1.05088
13.30000	-1.11603
13.40000	-1.18133
13.50000	-1.24674
13.60000	-1.31227
13.70000	-1.37789
13.80000	-1.44358
13.90000	-1.50931
14.00000	-1.57506
14.10000	-1.64079
14.20000	-1.70648
14.30000	-1.77208
14.40000	-1.83756
14.50000	-1.90289
14.60000	-1.96801
14.70000	-2.03288
14.80000	-2.09748
14.90000	-2.16174
15.00000	-2.22563
15.10000	-2.28911
15.20000	-2.35213
15.30000	-2.41465
15.40000	-2.47663
15.50000	-2.53804
15.60000	-2.59882
15.70000	-2.65896
15.80000	-2.71840
15.90000	-2.77713
16.00000	-2.83511
16.10000	-2.89232
16.20000	-2.94872
16.30000	-3.00431
