WSM
F3OF
DT1
PITCH
t(s)	PITCH(deg)
0.00000	-0.00000
0.10000	0.00093
0.20000	0.00434
0.30000	0.01127
0.40000	0.02245
0.50000	0.03819
0.60000	0.05843
0.70000	0.08285
0.80000	0.11112
0.90000	0.14295
1.00000	0.17815
1.10000	0.21652
1.20000	0.25789
1.30000	0.30200
1.40000	0.34851
1.50000	0.39698
1.60000	0.44694
1.70000	0.49785
1.80000	0.54920
1.90000	0.60045
2.00000	0.65109
2.10000	0.70061
2.20000	0.74850
2.30000	0.79429
2.40000	0.83752
2.50000	0.87774
2.60000	0.91455
2.70000	0.94758
2.80000	0.97649
2.90000	1.00099
3.00000	1.02083
3.10000	1.03579
3.20000	1.04571
3.30000	1.05044
3.40000	1.04991
3.50000	1.04408
3.60000	1.03294
3.70000	1.01655
3.80000	0.99499
3.90000	0.96842
4.00000	0.93702
4.10000	0.90103
4.20000	0.86074
4.30000	0.81647
4.40000	0.76861
4.50000	0.71756
4.60000	0.66378
4.70000	0.60774
4.80000	0.54994
4.90000	0.49090
5.00000	0.43117
5.10000	0.37127
5.20000	0.31174
5.30000	0.25312
5.40000	0.19590
5.50000	0.14059
5.60000	0.08765
5.70000	0.03752
5.80000	-0.00940
5.90000	-0.05275
6.00000	-0.09220
6.10000	-0.12747
6.20000	-0.15832
6.30000	-0.18455
6.40000	-0.20601
6.50000	-0.22259
6.60000	-0.23421
6.70000	-0.24086
6.80000	-0.24254
6.90000	-0.23931
7.00000	-0.23126
7.10000	-0.21854
7.20000	-0.20131
7.30000	-0.17978
7.40000	-0.15420
7.50000	-0.12485
7.60000	-0.09206
7.70000	-0.05615
7.80000	-0.01752
7.90000	0.02344
8.00000	0.06630
8.10000	0.11062
8.20000	0.15595
8.30000	0.20181
8.40000	0.24773
8.50000	0.29324
8.60000	0.33786
8.70000	0.38114
8.80000	0.42263
8.90000	0.46190
9.00000	0.49853
9.10000	0.53215
9.20000	0.56240
9.30000	0.58896
9.40000	0.61155
9.50000	0.62992
9.60000	0.64386
9.70000	0.65319
9.80000	0.65780
9.90000	0.65759
10.00000	0.65253
10.10000	0.64262
10.20000	0.62790
10.30000	0.60846
10.40000	0.58443
10.50000	0.55597
10.60000	0.52330
10.70000	0.48665
10.80000	0.44630
10.90000	0.40257
11.00000	0.35580
11.10000	0.30633
11.20000	0.25457
11.30000	0.20092
11.40000	0.14579
11.50000	0.08962
11.60000	0.03284
11.70000	-0.02410
11.80000	-0.08078
11.90000	-0.13674
12.00000	-0.19158
12.10000	-0.24487
12.20000	-0.29623
12.30000	-0.34526
12.40000	-0.39162
12.50000	-0.43497
12.60000	-0.47501
12.70000	-0.51146
12.80000	-0.54407
12.90000	-0.57265
13.00000	-0.59700
13.10000	-0.61699
13.20000	-0.63252
13.30000	-0.64350
13.40000	-0.64993
13.50000	-0.65179
13.60000	-0.64915
13.70000	-0.64208
13.80000	-0.63070
13.90000	-0.61517
14.00000	-0.59568
14.10000	-0.57246
14.20000	-0.54575
14.30000	-0.51586
14.40000	-0.48309
14.50000	-0.44778
14.60000	-0.41029
14.70000	-0.37101
14.80000	-0.33033
14.90000	-0.28866
15.00000	-0.24643
15.10000	-0.20406
15.20000	-0.16199
15.30000	-0.12064
15.40000	-0.08044
15.50000	-0.04180
15.60000	-0.00514
15.70000	0.02917
15.80000	0.06075
15.90000	0.08925
16.00000	0.11437
16.10000	0.13580
16.20000	0.15330
16.30000	0.16665
16.40000	0.17565
16.50000	0.18018
16.60000	0.18014
16.70000	0.17546
16.80000	0.16613
16.90000	0.15220
17.00000	0.13373
17.10000	0.11084
17.20000	0.08371
17.30000	0.05253
17.40000	0.01754
17.50000	-0.02097
17.60000	-0.06269
17.70000	-0.10728
17.80000	-0.15436
17.90000	-0.20354
18.00000	-0.25440
18.10000	-0.30652
18.20000	-0.35945
18.30000	-0.41274
18.40000	-0.46593
18.50000	-0.51858
18.60000	-0.57023
18.70000	-0.62046
18.80000	-0.66884
18.90000	-0.71495
19.00000	-0.75843
19.10000	-0.79891
19.20000	-0.83605
19.30000	-0.86957
19.40000	-0.89920
19.50000	-0.92470
19.60000	-0.94589
19.70000	-0.96262
19.80000	-0.97477
19.90000	-0.98229
20.00000	-0.98515
20.10000	-0.98336
20.20000	-0.97699
20.30000	-0.96613
20.40000	-0.95093
20.50000	-0.93155
20.60000	-0.90822
20.70000	-0.88119
20.80000	-0.85072
20.90000	-0.81713
21.00000	-0.78074
21.10000	-0.74193
21.20000	-0.70105
21.30000	-0.65850
21.40000	-0.61469
21.50000	-0.57002
21.60000	-0.52491
21.70000	-0.47978
21.80000	-0.43504
21.90000	-0.39111
22.00000	-0.34840
22.10000	-0.30728
22.20000	-0.26813
22.30000	-0.23130
22.40000	-0.19713
22.50000	-0.16592
22.60000	-0.13795
22.70000	-0.11346
22.80000	-0.09268
22.90000	-0.07577
23.00000	-0.06289
23.10000	-0.05414
23.20000	-0.04958
23.30000	-0.04926
23.40000	-0.05315
23.50000	-0.06121
23.60000	-0.07335
23.70000	-0.08946
23.80000	-0.10936
23.90000	-0.13287
24.00000	-0.15976
24.10000	-0.18977
24.20000	-0.22261
24.30000	-0.25799
24.40000	-0.29555
24.50000	-0.33495
24.60000	-0.37582
24.70000	-0.41778
24.80000	-0.46044
24.90000	-0.50340
25.00000	-0.54626
25.10000	-0.58863
25.20000	-0.63010
25.30000	-0.67030
25.40000	-0.70885
25.50000	-0.74538
25.60000	-0.77957
25.70000	-0.81110
25.80000	-0.83965
25.90000	-0.86497
26.00000	-0.88682
26.10000	-0.90497
26.20000	-0.91927
26.30000	-0.92955
26.40000	-0.93571
26.50000	-0.93768
26.60000	-0.93541
26.70000	-0.92892
26.80000	-0.91822
26.90000	-0.90341
27.00000	-0.88458
27.10000	-0.86187
27.20000	-0.83547
27.30000	-0.80558
27.40000	-0.77244
27.50000	-0.73631
27.60000	-0.69749
27.70000	-0.65630
27.80000	-0.61306
27.90000	-0.56813
28.00000	-0.52187
28.10000	-0.47468
28.20000	-0.42692
28.30000	-0.37899
28.40000	-0.33129
28.50000	-0.28419
28.60000	-0.23808
28.70000	-0.19334
28.80000	-0.15031
28.90000	-0.10934
29.00000	-0.07075
29.10000	-0.03485
29.20000	-0.00190
29.30000	0.02785
29.40000	0.05418
29.50000	0.07690
29.60000	0.09587
29.70000	0.11096
29.80000	0.12210
29.90000	0.12924
30.00000	0.13237
30.10000	0.13152
30.20000	0.12676
30.30000	0.11819
30.40000	0.10594
30.50000	0.09019
30.60000	0.07113
30.70000	0.04901
30.80000	0.02408
30.90000	-0.00338
31.00000	-0.03305
31.10000	-0.06460
31.20000	-0.09769
31.30000	-0.13196
31.40000	-0.16703
31.50000	-0.20254
31.60000	-0.23809
31.70000	-0.27330
31.80000	-0.30781
31.90000	-0.34124
32.00000	-0.37323
32.10000	-0.40343
32.20000	-0.43152
32.30000	-0.45719
32.40000	-0.48014
32.50000	-0.50013
32.60000	-0.51691
32.70000	-0.53028
32.80000	-0.54007
32.90000	-0.54613
33.00000	-0.54836
33.10000	-0.54668
33.20000	-0.54106
33.30000	-0.53149
33.40000	-0.51801
33.50000	-0.50068
33.60000	-0.47962
33.70000	-0.45494
33.80000	-0.42683
33.90000	-0.39548
34.00000	-0.36111
34.10000	-0.32398
34.20000	-0.28437
34.30000	-0.24258
34.40000	-0.19893
34.50000	-0.15374
34.60000	-0.10737
34.70000	-0.06018
34.80000	-0.01253
34.90000	0.03522
35.00000	0.08270
35.10000	0.12954
35.20000	0.17538
35.30000	0.21988
35.40000	0.26271
35.50000	0.30355
35.60000	0.34210
35.70000	0.37807
35.80000	0.41122
35.90000	0.44131
36.00000	0.46816
36.10000	0.49157
36.20000	0.51143
36.30000	0.52761
36.40000	0.54004
36.50000	0.54869
36.60000	0.55355
36.70000	0.55464
36.80000	0.55202
36.90000	0.54579
37.00000	0.53608
37.10000	0.52303
37.20000	0.50684
37.30000	0.48772
37.40000	0.46590
37.50000	0.44165
37.60000	0.41526
37.70000	0.38701
37.80000	0.35723
37.90000	0.32625
38.00000	0.29440
38.10000	0.26203
38.20000	0.22949
38.30000	0.19712
38.40000	0.16528
38.50000	0.13430
38.60000	0.10451
38.70000	0.07623
38.80000	0.04978
38.90000	0.02542
39.00000	0.00344
39.10000	-0.01593
39.20000	-0.03246
39.30000	-0.04596
39.40000	-0.05626
39.50000	-0.06323
39.60000	-0.06676
39.70000	-0.06677
39.80000	-0.06323
39.90000	-0.05612
40.00000	-0.04546
40.10000	-0.03132
40.20000	-0.01378
40.30000	0.00705
40.40000	0.03102
40.50000	0.05795
40.60000	0.08764
40.70000	0.11986
40.80000	0.15436
40.90000	0.19087
41.00000	0.22911
41.10000	0.26876
41.20000	0.30951
41.30000	0.35103
41.40000	0.39299
41.50000	0.43504
41.60000	0.47686
41.70000	0.51809
41.80000	0.55841
41.90000	0.59749
42.00000	0.63502
42.10000	0.67070
42.20000	0.70425
42.30000	0.73539
42.40000	0.76389
42.50000	0.78953
42.60000	0.81211
42.70000	0.83147
42.80000	0.84746
42.90000	0.85998
43.00000	0.86896
43.10000	0.87433
43.20000	0.87610
43.30000	0.87428
43.40000	0.86891
43.50000	0.86008
43.60000	0.84790
43.70000	0.83250
43.80000	0.81406
43.90000	0.79276
44.00000	0.76883
44.10000	0.74250
44.20000	0.71404
44.30000	0.68371
44.40000	0.65183
44.50000	0.61868
44.60000	0.58459
44.70000	0.54989
44.80000	0.51489
44.90000	0.47993
45.00000	0.44533
45.10000	0.41141
45.20000	0.37849
45.30000	0.34688
45.40000	0.31685
45.50000	0.28870
45.60000	0.26267
45.70000	0.23900
45.80000	0.21791
45.90000	0.19958
46.00000	0.18418
46.10000	0.17184
46.20000	0.16268
46.30000	0.15676
46.40000	0.15414
46.50000	0.15483
46.60000	0.15881
46.70000	0.16605
46.80000	0.17647
46.90000	0.18995
47.00000	0.20638
47.10000	0.22558
47.20000	0.24737
47.30000	0.27155
47.40000	0.29787
47.50000	0.32610
47.60000	0.35595
47.70000	0.38714
47.80000	0.41938
47.90000	0.45236
48.00000	0.48577
48.10000	0.51929
48.20000	0.55259
48.30000	0.58537
48.40000	0.61731
48.50000	0.64810
48.60000	0.67745
48.70000	0.70508
48.80000	0.73072
48.90000	0.75413
49.00000	0.77507
49.10000	0.79334
49.20000	0.80876
49.30000	0.82116
49.40000	0.83043
49.50000	0.83646
49.60000	0.83917
49.70000	0.83852
49.80000	0.83450
49.90000	0.82712
50.00000	0.81643
50.10000	0.80250
50.20000	0.78543
50.30000	0.76536
50.40000	0.74243
50.50000	0.71684
50.60000	0.68877
50.70000	0.65846
50.80000	0.62614
50.90000	0.59208
51.00000	0.55655
51.10000	0.51983
51.20000	0.48222
51.30000	0.44401
51.40000	0.40552
51.50000	0.36704
51.60000	0.32888
51.70000	0.29135
51.80000	0.25472
51.90000	0.21929
52.00000	0.18533
52.10000	0.15309
52.20000	0.12281
52.30000	0.09471
52.40000	0.06900
52.50000	0.04585
52.60000	0.02541
52.70000	0.00782
52.80000	-0.00683
52.90000	-0.01845
53.00000	-0.02700
53.10000	-0.03246
53.20000	-0.03484
53.30000	-0.03417
53.40000	-0.03052
53.50000	-0.02398
53.60000	-0.01466
53.70000	-0.00271
53.80000	0.01171
53.90000	0.02840
54.00000	0.04716
54.10000	0.06777
54.20000	0.08997
54.30000	0.11351
54.40000	0.13812
54.50000	0.16352
54.60000	0.18942
54.70000	0.21553
54.80000	0.24156
54.90000	0.26722
55.00000	0.29221
55.10000	0.31626
55.20000	0.33909
55.30000	0.36044
55.40000	0.38006
