Number	(rad/s)	(Hz)	(s)
1	0.02	50.00	314.16
2	0.04	25.00	157.08
3	0.06	16.67	104.72
4	0.08	12.50	78.54
5	0.10	10.00	62.83
6	0.12	8.33	52.36
7	0.14	7.14	44.88
8	0.16	6.25	39.27
9	0.18	5.56	34.91
10	0.20	5.00	31.42
11	0.22	4.55	28.56
12	0.24	4.17	26.18
13	0.26	3.85	24.17
14	0.28	3.57	22.44
15	0.30	3.33	20.94
16	0.32	3.12	19.63
17	0.34	2.94	18.48
18	0.36	2.78	17.45
19	0.38	2.63	16.53
20	0.40	2.50	15.71
21	0.42	2.38	14.96
22	0.44	2.27	14.28
23	0.46	2.17	13.66
24	0.48	2.08	13.09
25	0.50	2.00	12.57
26	0.52	1.92	12.08
27	0.54	1.85	11.64
28	0.56	1.79	11.22
29	0.58	1.72	10.83
30	0.60	1.67	10.47
31	0.62	1.61	10.13
32	0.64	1.56	9.82
33	0.66	1.52	9.52
34	0.68	1.47	9.24
35	0.70	1.43	8.98
36	0.72	1.39	8.73
37	0.74	1.35	8.49
38	0.76	1.32	8.27
39	0.78	1.28	8.06
40	0.80	1.25	7.85
41	0.82	1.22	7.66
42	0.84	1.19	7.48
43	0.86	1.16	7.31
44	0.88	1.14	7.14
45	0.90	1.11	6.98
46	0.92	1.09	6.83
47	0.94	1.06	6.68
48	0.96	1.04	6.54
49	0.98	1.02	6.41
50	1.00	1.00	6.28
51	1.02	0.98	6.16
52	1.04	0.96	6.04
53	1.06	0.94	5.93
54	1.08	0.93	5.82
55	1.10	0.91	5.71
56	1.12	0.89	5.61
57	1.14	0.88	5.51
58	1.16	0.86	5.42
59	1.18	0.85	5.32
60	1.20	0.83	5.24
61	1.22	0.82	5.15
62	1.24	0.81	5.07
63	1.26	0.79	4.99
64	1.28	0.78	4.91
65	1.30	0.77	4.83
66	1.32	0.76	4.76
67	1.34	0.75	4.69
68	1.36	0.74	4.62
69	1.38	0.72	4.55
70	1.40	0.71	4.49
71	1.42	0.70	4.42
72	1.44	0.69	4.36
73	1.46	0.68	4.30
74	1.48	0.68	4.25
75	1.50	0.67	4.19
76	1.52	0.66	4.13
77	1.54	0.65	4.08
78	1.56	0.64	4.03
79	1.58	0.63	3.98
80	1.60	0.62	3.93
81	1.62	0.62	3.88
82	1.64	0.61	3.83
83	1.66	0.60	3.79
84	1.68	0.60	3.74
85	1.70	0.59	3.70
86	1.72	0.58	3.65
87	1.74	0.57	3.61
88	1.76	0.57	3.57
89	1.78	0.56	3.53
90	1.80	0.56	3.49
91	1.82	0.55	3.45
92	1.84	0.54	3.41
93	1.86	0.54	3.38
