Time (s)   Float Heave (m) Plate Heave (m)
0.01           -0.62000515    -21.29000007
0.02           -0.62002233    -21.29000032
0.03           -0.62005382    -21.29000078
0.04           -0.62009961    -21.29000145
0.05           -0.62015969    -21.29000232
0.06           -0.62023406    -21.29000340
0.07           -0.62032270    -21.29000469
0.08           -0.62042560    -21.29000618
0.09           -0.62054274    -21.29000788
0.10           -0.62067410    -21.29000979
0.11           -0.62081966    -21.29001191
0.12           -0.62097938    -21.29001423
0.13           -0.62115326    -21.29001676
0.14           -0.62134124    -21.29001950
0.15           -0.62154331    -21.29002244
0.16           -0.62175943    -21.29002559
0.17           -0.62198957    -21.29002894
0.18           -0.62223367    -21.29003250
0.19           -0.62249170    -21.29003627
0.20           -0.62276363    -21.29004024
0.21           -0.62304939    -21.29004441
0.22           -0.62334894    -21.29004879
0.23           -0.62366224    -21.29005338
0.24           -0.62398922    -21.29005817
0.25           -0.62432983    -21.29006316
0.26           -0.62468402    -21.29006835
0.27           -0.62505172    -21.29007375
0.28           -0.62543287    -21.29007935
0.29           -0.62582740    -21.29008515
0.30           -0.62623526    -21.29009115
0.31           -0.62665636    -21.29009735
0.32           -0.62709064    -21.29010375
0.33           -0.62753803    -21.29011036
0.34           -0.62799844    -21.29011716
0.35           -0.62847180    -21.29012416
0.36           -0.62895803    -21.29013136
0.37           -0.62945705    -21.29013876
0.38           -0.62996877    -21.29014636
0.39           -0.63049310    -21.29015415
0.40           -0.63102996    -21.29016214
0.41           -0.63157926    -21.29017032
0.42           -0.63214090    -21.29017870
0.43           -0.63271478    -21.29018728
0.44           -0.63330082    -21.29019604
0.45           -0.63389890    -21.29020500
0.46           -0.63450893    -21.29021416
0.47           -0.63513081    -21.29022350
0.48           -0.63576443    -21.29023304
0.49           -0.63640969    -21.29024276
0.50           -0.63706647    -21.29025268
0.51           -0.63773466    -21.29026279
0.52           -0.63841416    -21.29027308
0.53           -0.63910484    -21.29028356
0.54           -0.63980660    -21.29029423
0.55           -0.64051930    -21.29030508
0.56           -0.64124284    -21.29031612
0.57           -0.64197709    -21.29032734
0.58           -0.64272193    -21.29033874
0.59           -0.64347723    -21.29035033
0.60           -0.64424287    -21.29036210
0.61           -0.64501871    -21.29037405
0.62           -0.64580463    -21.29038618
0.63           -0.64660050    -21.29039849
0.64           -0.64740618    -21.29041097
0.65           -0.64822153    -21.29042364
0.66           -0.64904643    -21.29043648
0.67           -0.64988073    -21.29044949
0.68           -0.65072430    -21.29046268
0.69           -0.65157698    -21.29047604
0.70           -0.65243865    -21.29048958
0.71           -0.65330916    -21.29050328
0.72           -0.65418836    -21.29051716
0.73           -0.65507611    -21.29053120
0.74           -0.65597225    -21.29054541
0.75           -0.65687665    -21.29055979
0.76           -0.65778914    -21.29057434
0.77           -0.65870959    -21.29058905
0.78           -0.65963783    -21.29060392
0.79           -0.66057371    -21.29061896
0.80           -0.66151708    -21.29063416
0.81           -0.66246778    -21.29064952
0.82           -0.66342566    -21.29066504
0.83           -0.66439055    -21.29068071
0.84           -0.66536231    -21.29069654
0.85           -0.66634076    -21.29071253
0.86           -0.66732574    -21.29072868
0.87           -0.66831711    -21.29074497
0.88           -0.66931468    -21.29076142
0.89           -0.67031831    -21.29077802
0.90           -0.67132781    -21.29079477
0.91           -0.67234304    -21.29081167
0.92           -0.67336382    -21.29082871
0.93           -0.67438999    -21.29084590
0.94           -0.67542138    -21.29086324
0.95           -0.67645782    -21.29088071
0.96           -0.67749914    -21.29089834
0.97           -0.67854517    -21.29091610
0.98           -0.67959574    -21.29093400
0.99           -0.68065069    -21.29095203
1.00           -0.68170984    -21.29097021
1.01           -0.68277302    -21.29098852
1.02           -0.68384006    -21.29100696
1.03           -0.68491078    -21.29102554
1.04           -0.68598502    -21.29104425
1.05           -0.68706260    -21.29106308
1.06           -0.68814334    -21.29108205
1.07           -0.68922708    -21.29110114
1.08           -0.69031364    -21.29112036
1.09           -0.69140284    -21.29113970
1.10           -0.69249451    -21.29115917
1.11           -0.69358847    -21.29117876
1.12           -0.69468456    -21.29119846
1.13           -0.69578260    -21.29121829
1.14           -0.69688241    -21.29123823
1.15           -0.69798381    -21.29125828
1.16           -0.69908664    -21.29127845
1.17           -0.70019071    -21.29129874
1.18           -0.70129586    -21.29131913
1.19           -0.70240190    -21.29133963
1.20           -0.70350867    -21.29136024
1.21           -0.70461598    -21.29138096
1.22           -0.70572367    -21.29140178
1.23           -0.70683157    -21.29142270
1.24           -0.70793948    -21.29144373
1.25           -0.70904726    -21.29146485
1.26           -0.71015471    -21.29148608
1.27           -0.71126167    -21.29150740
1.28           -0.71236796    -21.29152882
1.29           -0.71347342    -21.29155033
1.30           -0.71457787    -21.29157193
1.31           -0.71568114    -21.29159362
1.32           -0.71678306    -21.29161540
1.33           -0.71788346    -21.29163727
1.34           -0.71898217    -21.29165923
1.35           -0.72007901    -21.29168127
1.36           -0.72117384    -21.29170339
1.37           -0.72226646    -21.29172559
1.38           -0.72335672    -21.29174787
1.39           -0.72444446    -21.29177023
1.40           -0.72552950    -21.29179266
1.41           -0.72661168    -21.29181517
1.42           -0.72769083    -21.29183775
1.43           -0.72876680    -21.29186040
1.44           -0.72983942    -21.29188312
1.45           -0.73090853    -21.29190591
1.46           -0.73197396    -21.29192876
1.47           -0.73303557    -21.29195168
1.48           -0.73409318    -21.29197466
1.49           -0.73514664    -21.29199770
1.50           -0.73619580    -21.29202080
1.51           -0.73724049    -21.29204396
1.52           -0.73828057    -21.29206717
1.53           -0.73931588    -21.29209043
1.54           -0.74034626    -21.29211375
1.55           -0.74137157    -21.29213712
1.56           -0.74239166    -21.29216054
1.57           -0.74340636    -21.29218400
1.58           -0.74441555    -21.29220751
1.59           -0.74541907    -21.29223106
1.60           -0.74641677    -21.29225466
1.61           -0.74740851    -21.29227829
1.62           -0.74839415    -21.29230197
1.63           -0.74937354    -21.29232568
1.64           -0.75034655    -21.29234942
1.65           -0.75131304    -21.29237320
1.66           -0.75227286    -21.29239700
1.67           -0.75322588    -21.29242084
1.68           -0.75417197    -21.29244471
1.69           -0.75511100    -21.29246860
1.70           -0.75604283    -21.29249252
1.71           -0.75696732    -21.29251645
1.72           -0.75788436    -21.29254041
1.73           -0.75879381    -21.29256439
1.74           -0.75969555    -21.29258839
1.75           -0.76058946    -21.29261240
1.76           -0.76147541    -21.29263642
1.77           -0.76235327    -21.29266046
1.78           -0.76322294    -21.29268451
1.79           -0.76408429    -21.29270856
1.80           -0.76493720    -21.29273262
1.81           -0.76578156    -21.29275669
1.82           -0.76661727    -21.29278076
1.83           -0.76744420    -21.29280483
1.84           -0.76826224    -21.29282890
1.85           -0.76907130    -21.29285297
1.86           -0.76987125    -21.29287704
1.87           -0.77066201    -21.29290110
1.88           -0.77144346    -21.29292515
1.89           -0.77221551    -21.29294919
1.90           -0.77297805    -21.29297323
1.91           -0.77373099    -21.29299725
1.92           -0.77447424    -21.29302125
1.93           -0.77520769    -21.29304524
1.94           -0.77593126    -21.29306922
1.95           -0.77664486    -21.29309317
1.96           -0.77734840    -21.29311710
1.97           -0.77804179    -21.29314101
1.98           -0.77872495    -21.29316489
1.99           -0.77939779    -21.29318875
2.00           -0.78006024    -21.29321258
2.01           -0.78071222    -21.29323638
2.02           -0.78135366    -21.29326015
2.03           -0.78198446    -21.29328388
2.04           -0.78260457    -21.29330758
2.05           -0.78321391    -21.29333125
2.06           -0.78381242    -21.29335487
2.07           -0.78440002    -21.29337846
2.08           -0.78497666    -21.29340200
2.09           -0.78554226    -21.29342550
2.10           -0.78609677    -21.29344896
2.11           -0.78664013    -21.29347237
2.12           -0.78717228    -21.29349573
2.13           -0.78769316    -21.29351904
2.14           -0.78820273    -21.29354229
2.15           -0.78870093    -21.29356550
2.16           -0.78918772    -21.29358865
2.17           -0.78966304    -21.29361174
2.18           -0.79012685    -21.29363478
2.19           -0.79057911    -21.29365775
2.20           -0.79101978    -21.29368067
2.21           -0.79144882    -21.29370352
2.22           -0.79186619    -21.29372630
2.23           -0.79227185    -21.29374902
2.24           -0.79266578    -21.29377167
2.25           -0.79304794    -21.29379425
2.26           -0.79341831    -21.29381676
2.27           -0.79377685    -21.29383920
2.28           -0.79412355    -21.29386157
2.29           -0.79445837    -21.29388385
2.30           -0.79478131    -21.29390606
2.31           -0.79509233    -21.29392820
2.32           -0.79539143    -21.29395025
2.33           -0.79567859    -21.29397221
2.34           -0.79595379    -21.29399410
2.35           -0.79621702    -21.29401590
2.36           -0.79646829    -21.29403761
2.37           -0.79670757    -21.29405924
2.38           -0.79693487    -21.29408078
2.39           -0.79715018    -21.29410222
2.40           -0.79735350    -21.29412357
2.41           -0.79754484    -21.29414483
2.42           -0.79772419    -21.29416599
2.43           -0.79789157    -21.29418706
2.44           -0.79804697    -21.29420803
2.45           -0.79819041    -21.29422890
2.46           -0.79832189    -21.29424966
2.47           -0.79844144    -21.29427033
2.48           -0.79854907    -21.29429089
2.49           -0.79864478    -21.29431134
2.50           -0.79872861    -21.29433169
2.51           -0.79880058    -21.29435193
2.52           -0.79886069    -21.29437206
2.53           -0.79890899    -21.29439208
2.54           -0.79894549    -21.29441198
2.55           -0.79897023    -21.29443178
2.56           -0.79898323    -21.29445146
2.57           -0.79898452    -21.29447102
2.58           -0.79897414    -21.29449046
2.59           -0.79895213    -21.29450979
2.60           -0.79891852    -21.29452900
2.61           -0.79887335    -21.29454808
2.62           -0.79881667    -21.29456704
2.63           -0.79874851    -21.29458588
2.64           -0.79866891    -21.29460460
2.65           -0.79857793    -21.29462318
2.66           -0.79847562    -21.29464164
2.67           -0.79836202    -21.29465997
2.68           -0.79823718    -21.29467817
2.69           -0.79810116    -21.29469624
2.70           -0.79795401    -21.29471418
2.71           -0.79779579    -21.29473199
2.72           -0.79762655    -21.29474966
2.73           -0.79744636    -21.29476719
2.74           -0.79725528    -21.29478459
2.75           -0.79705337    -21.29480185
2.76           -0.79684069    -21.29481897
2.77           -0.79661731    -21.29483595
2.78           -0.79638330    -21.29485279
2.79           -0.79613873    -21.29486949
2.80           -0.79588367    -21.29488604
2.81           -0.79561818    -21.29490245
2.82           -0.79534235    -21.29491871
2.83           -0.79505625    -21.29493483
2.84           -0.79475995    -21.29495080
2.85           -0.79445354    -21.29496663
2.86           -0.79413709    -21.29498230
2.87           -0.79381068    -21.29499782
2.88           -0.79347440    -21.29501320
2.89           -0.79312833    -21.29502842
2.90           -0.79277256    -21.29504349
2.91           -0.79240716    -21.29505840
2.92           -0.79203224    -21.29507316
2.93           -0.79164787    -21.29508776
2.94           -0.79125415    -21.29510221
2.95           -0.79085117    -21.29511650
2.96           -0.79043902    -21.29513063
2.97           -0.79001779    -21.29514460
2.98           -0.78958759    -21.29515842
2.99           -0.78914850    -21.29517207
3.00           -0.78870063    -21.29518556
3.01           -0.78824407    -21.29519889
3.02           -0.78777892    -21.29521205
3.03           -0.78730529    -21.29522506
3.04           -0.78682327    -21.29523790
3.05           -0.78633297    -21.29525057
3.06           -0.78583449    -21.29526308
3.07           -0.78532794    -21.29527542
3.08           -0.78481342    -21.29528759
3.09           -0.78429104    -21.29529960
3.10           -0.78376091    -21.29531144
3.11           -0.78322313    -21.29532311
3.12           -0.78267782    -21.29533461
3.13           -0.78212509    -21.29534594
3.14           -0.78156504    -21.29535710
3.15           -0.78099779    -21.29536809
3.16           -0.78042346    -21.29537891
3.17           -0.77984215    -21.29538955
3.18           -0.77925399    -21.29540002
3.19           -0.77865908    -21.29541032
3.20           -0.77805754    -21.29542044
3.21           -0.77744949    -21.29543039
3.22           -0.77683505    -21.29544017
3.23           -0.77621434    -21.29544977
3.24           -0.77558747    -21.29545920
3.25           -0.77495456    -21.29546844
3.26           -0.77431574    -21.29547752
3.27           -0.77367112    -21.29548641
3.28           -0.77302083    -21.29549513
3.29           -0.77236498    -21.29550367
3.30           -0.77170371    -21.29551203
3.31           -0.77103712    -21.29552022
3.32           -0.77036535    -21.29552823
3.33           -0.76968852    -21.29553605
3.34           -0.76900675    -21.29554370
3.35           -0.76832017    -21.29555117
3.36           -0.76762890    -21.29555846
3.37           -0.76693307    -21.29556557
3.38           -0.76623280    -21.29557250
3.39           -0.76552822    -21.29557925
3.40           -0.76481945    -21.29558582
3.41           -0.76410662    -21.29559221
3.42           -0.76338986    -21.29559841
3.43           -0.76266930    -21.29560444
3.44           -0.76194505    -21.29561029
3.45           -0.76121726    -21.29561595
3.46           -0.76048603    -21.29562143
3.47           -0.75975152    -21.29562674
3.48           -0.75901383    -21.29563186
3.49           -0.75827310    -21.29563680
3.50           -0.75752945    -21.29564155
3.51           -0.75678302    -21.29564613
3.52           -0.75603393    -21.29565052
3.53           -0.75528231    -21.29565474
3.54           -0.75452829    -21.29565877
3.55           -0.75377199    -21.29566262
3.56           -0.75301354    -21.29566628
3.57           -0.75225307    -21.29566977
3.58           -0.75149071    -21.29567308
3.59           -0.75072659    -21.29567620
3.60           -0.74996082    -21.29567914
3.61           -0.74919355    -21.29568190
3.62           -0.74842489    -21.29568449
