Time (s)   Float Heave (m) Plate Heave (m)
3.63           -0.74765497    -21.29568689
3.64           -0.74688392    -21.29568910
3.65           -0.74611186    -21.29569114
3.66           -0.74533893    -21.29569300
3.67           -0.74456524    -21.29569468
3.68           -0.74379093    -21.29569618
3.69           -0.74301611    -21.29569750
3.70           -0.74224091    -21.29569864
3.71           -0.74146545    -21.29569960
3.72           -0.74068987    -21.29570038
3.73           -0.73991428    -21.29570098
3.74           -0.73913880    -21.29570141
3.75           -0.73836356    -21.29570166
3.76           -0.73758868    -21.29570173
3.77           -0.73681428    -21.29570162
3.78           -0.73604049    -21.29570133
3.79           -0.73526742    -21.29570087
3.80           -0.73449519    -21.29570023
3.81           -0.73372392    -21.29569942
3.82           -0.73295374    -21.29569843
3.83           -0.73218476    -21.29569727
3.84           -0.73141709    -21.29569593
3.85           -0.73065086    -21.29569442
3.86           -0.72988618    -21.29569273
3.87           -0.72912317    -21.29569087
3.88           -0.72836193    -21.29568884
3.89           -0.72760260    -21.29568664
3.90           -0.72684527    -21.29568426
3.91           -0.72609007    -21.29568171
3.92           -0.72533710    -21.29567900
3.93           -0.72458648    -21.29567611
3.94           -0.72383831    -21.29567305
3.95           -0.72309271    -21.29566982
3.96           -0.72234979    -21.29566643
3.97           -0.72160965    -21.29566287
3.98           -0.72087240    -21.29565914
3.99           -0.72013815    -21.29565524
4.00           -0.71940701    -21.29565118
4.01           -0.71867907    -21.29564695
4.02           -0.71795444    -21.29564256
4.03           -0.71723323    -21.29563800
4.04           -0.71651553    -21.29563329
4.05           -0.71580145    -21.29562840
4.06           -0.71509109    -21.29562336
4.07           -0.71438455    -21.29561815
4.08           -0.71368192    -21.29561279
4.09           -0.71298330    -21.29560726
4.10           -0.71228879    -21.29560158
4.11           -0.71159849    -21.29559574
4.12           -0.71091248    -21.29558974
4.13           -0.71023086    -21.29558358
4.14           -0.70955373    -21.29557727
4.15           -0.70888117    -21.29557080
4.16           -0.70821327    -21.29556418
4.17           -0.70755012    -21.29555741
4.18           -0.70689181    -21.29555048
4.19           -0.70623843    -21.29554340
4.20           -0.70559006    -21.29553617
4.21           -0.70494678    -21.29552879
4.22           -0.70430869    -21.29552126
4.23           -0.70367585    -21.29551358
4.24           -0.70304836    -21.29550575
4.25           -0.70242628    -21.29549778
4.26           -0.70180971    -21.29548966
4.27           -0.70119871    -21.29548140
4.28           -0.70059337    -21.29547299
4.29           -0.69999375    -21.29546444
4.30           -0.69939993    -21.29545575
4.31           -0.69881199    -21.29544692
4.32           -0.69822999    -21.29543794
4.33           -0.69765401    -21.29542883
4.34           -0.69708411    -21.29541958
4.35           -0.69652036    -21.29541019
4.36           -0.69596283    -21.29540067
4.37           -0.69541158    -21.29539101
4.38           -0.69486668    -21.29538122
4.39           -0.69432819    -21.29537129
4.40           -0.69379616    -21.29536123
4.41           -0.69327066    -21.29535105
4.42           -0.69275176    -21.29534073
4.43           -0.69223949    -21.29533028
4.44           -0.69173393    -21.29531970
4.45           -0.69123512    -21.29530900
4.46           -0.69074312    -21.29529817
4.47           -0.69025798    -21.29528721
4.48           -0.68977976    -21.29527614
4.49           -0.68930849    -21.29526494
4.50           -0.68884423    -21.29525361
4.51           -0.68838703    -21.29524217
4.52           -0.68793693    -21.29523061
4.53           -0.68749398    -21.29521893
4.54           -0.68705821    -21.29520713
4.55           -0.68662967    -21.29519522
4.56           -0.68620840    -21.29518319
4.57           -0.68579443    -21.29517105
4.58           -0.68538782    -21.29515879
4.59           -0.68498858    -21.29514643
4.60           -0.68459676    -21.29513395
4.61           -0.68421239    -21.29512137
4.62           -0.68383549    -21.29510867
4.63           -0.68346611    -21.29509587
4.64           -0.68310427    -21.29508296
4.65           -0.68275000    -21.29506995
4.66           -0.68240333    -21.29505684
4.67           -0.68206427    -21.29504362
4.68           -0.68173286    -21.29503031
4.69           -0.68140912    -21.29501689
4.70           -0.68109306    -21.29500337
4.71           -0.68078472    -21.29498976
4.72           -0.68048409    -21.29497605
4.73           -0.68019122    -21.29496224
4.74           -0.67990610    -21.29494834
4.75           -0.67962875    -21.29493435
4.76           -0.67935919    -21.29492027
4.77           -0.67909743    -21.29490610
4.78           -0.67884348    -21.29489183
4.79           -0.67859735    -21.29487748
4.80           -0.67835905    -21.29486305
4.81           -0.67812858    -21.29484852
4.82           -0.67790594    -21.29483392
4.83           -0.67769115    -21.29481923
4.84           -0.67748420    -21.29480446
4.85           -0.67728510    -21.29478961
4.86           -0.67709385    -21.29477468
4.87           -0.67691044    -21.29475967
4.88           -0.67673487    -21.29474458
4.89           -0.67656714    -21.29472942
4.90           -0.67640724    -21.29471418
4.91           -0.67625518    -21.29469887
4.92           -0.67611093    -21.29468349
4.93           -0.67597449    -21.29466804
4.94           -0.67584585    -21.29465252
4.95           -0.67572500    -21.29463693
4.96           -0.67561193    -21.29462128
4.97           -0.67550662    -21.29460555
4.98           -0.67540906    -21.29458977
4.99           -0.67531923    -21.29457392
5.00           -0.67523712    -21.29455801
5.01           -0.67516270    -21.29454204
5.02           -0.67509595    -21.29452600
5.03           -0.67503686    -21.29450992
5.04           -0.67498541    -21.29449377
5.05           -0.67494156    -21.29447757
5.06           -0.67490530    -21.29446131
5.07           -0.67487659    -21.29444500
5.08           -0.67485542    -21.29442864
5.09           -0.67484175    -21.29441222
5.10           -0.67483556    -21.29439576
5.11           -0.67483681    -21.29437925
5.12           -0.67484547    -21.29436269
5.13           -0.67486152    -21.29434608
5.14           -0.67488491    -21.29432943
5.15           -0.67491562    -21.29431274
5.16           -0.67495360    -21.29429601
5.17           -0.67499882    -21.29427923
5.18           -0.67505125    -21.29426241
5.19           -0.67511084    -21.29424556
5.20           -0.67517756    -21.29422866
5.21           -0.67525135    -21.29421174
5.22           -0.67533220    -21.29419477
5.23           -0.67542003    -21.29417777
5.24           -0.67551483    -21.29416074
5.25           -0.67561653    -21.29414368
5.26           -0.67572510    -21.29412659
5.27           -0.67584049    -21.29410947
5.28           -0.67596265    -21.29409232
5.29           -0.67609153    -21.29407514
5.30           -0.67622708    -21.29405794
5.31           -0.67636926    -21.29404072
5.32           -0.67651800    -21.29402347
5.33           -0.67667326    -21.29400620
5.34           -0.67683499    -21.29398890
5.35           -0.67700313    -21.29397159
5.36           -0.67717763    -21.29395426
5.37           -0.67735843    -21.29393692
5.38           -0.67754548    -21.29391955
5.39           -0.67773871    -21.29390217
5.40           -0.67793807    -21.29388478
5.41           -0.67814351    -21.29386737
5.42           -0.67835495    -21.29384995
5.43           -0.67857235    -21.29383253
5.44           -0.67879564    -21.29381509
5.45           -0.67902476    -21.29379764
5.46           -0.67925964    -21.29378019
5.47           -0.67950023    -21.29376273
5.48           -0.67974645    -21.29374526
5.49           -0.67999826    -21.29372779
5.50           -0.68025557    -21.29371032
5.51           -0.68051833    -21.29369284
5.52           -0.68078646    -21.29367537
5.53           -0.68105991    -21.29365789
5.54           -0.68133859    -21.29364042
5.55           -0.68162246    -21.29362295
5.56           -0.68191143    -21.29360548
5.57           -0.68220543    -21.29358802
5.58           -0.68250440    -21.29357056
5.59           -0.68280827    -21.29355311
5.60           -0.68311697    -21.29353566
5.61           -0.68343041    -21.29351823
5.62           -0.68374854    -21.29350080
5.63           -0.68407128    -21.29348338
5.64           -0.68439856    -21.29346598
5.65           -0.68473029    -21.29344858
5.66           -0.68506642    -21.29343121
5.67           -0.68540686    -21.29341384
5.68           -0.68575154    -21.29339649
5.69           -0.68610039    -21.29337916
5.70           -0.68645332    -21.29336184
5.71           -0.68681027    -21.29334455
5.72           -0.68717115    -21.29332727
5.73           -0.68753590    -21.29331001
5.74           -0.68790443    -21.29329277
5.75           -0.68827666    -21.29327556
5.76           -0.68865253    -21.29325836
5.77           -0.68903194    -21.29324119
5.78           -0.68941483    -21.29322405
5.79           -0.68980112    -21.29320693
5.80           -0.69019072    -21.29318983
5.81           -0.69058356    -21.29317277
5.82           -0.69097955    -21.29315573
5.83           -0.69137863    -21.29313872
5.84           -0.69178070    -21.29312174
5.85           -0.69218570    -21.29310479
5.86           -0.69259353    -21.29308787
5.87           -0.69300413    -21.29307099
5.88           -0.69341741    -21.29305414
5.89           -0.69383329    -21.29303732
5.90           -0.69425169    -21.29302053
5.91           -0.69467252    -21.29300378
5.92           -0.69509572    -21.29298707
5.93           -0.69552120    -21.29297039
5.94           -0.69594888    -21.29295375
5.95           -0.69637867    -21.29293715
5.96           -0.69681050    -21.29292059
5.97           -0.69724429    -21.29290407
5.98           -0.69767996    -21.29288759
5.99           -0.69811742    -21.29287115
6.00           -0.69855659    -21.29285475
6.01           -0.69899741    -21.29283839
6.02           -0.69943977    -21.29282208
6.03           -0.69988361    -21.29280581
6.04           -0.70032885    -21.29278958
6.05           -0.70077539    -21.29277341
6.06           -0.70122318    -21.29275727
6.07           -0.70167211    -21.29274118
6.08           -0.70212212    -21.29272515
6.09           -0.70257312    -21.29270915
6.10           -0.70302504    -21.29269321
6.11           -0.70347780    -21.29267731
6.12           -0.70393131    -21.29266147
6.13           -0.70438550    -21.29264567
6.14           -0.70484028    -21.29262993
6.15           -0.70529559    -21.29261424
6.16           -0.70575134    -21.29259859
6.17           -0.70620746    -21.29258300
6.18           -0.70666386    -21.29256747
6.19           -0.70712047    -21.29255198
6.20           -0.70757721    -21.29253656
6.21           -0.70803400    -21.29252118
6.22           -0.70849078    -21.29250586
6.23           -0.70894745    -21.29249060
6.24           -0.70940396    -21.29247539
6.25           -0.70986021    -21.29246023
6.26           -0.71031614    -21.29244514
6.27           -0.71077167    -21.29243010
6.28           -0.71122673    -21.29241512
6.29           -0.71168123    -21.29240020
6.30           -0.71213512    -21.29238533
6.31           -0.71258831    -21.29237053
6.32           -0.71304073    -21.29235578
6.33           -0.71349232    -21.29234109
6.34           -0.71394299    -21.29232647
6.35           -0.71439267    -21.29231190
6.36           -0.71484131    -21.29229739
6.37           -0.71528881    -21.29228295
6.38           -0.71573512    -21.29226857
6.39           -0.71618017    -21.29225424
6.40           -0.71662388    -21.29223999
6.41           -0.71706619    -21.29222579
6.42           -0.71750702    -21.29221166
6.43           -0.71794632    -21.29219758
6.44           -0.71838401    -21.29218358
6.45           -0.71882003    -21.29216963
6.46           -0.71925431    -21.29215575
6.47           -0.71968679    -21.29214194
6.48           -0.72011740    -21.29212819
6.49           -0.72054608    -21.29211450
6.50           -0.72097276    -21.29210088
6.51           -0.72139738    -21.29208732
6.52           -0.72181987    -21.29207383
6.53           -0.72224019    -21.29206040
6.54           -0.72265826    -21.29204704
6.55           -0.72307402    -21.29203375
6.56           -0.72348742    -21.29202052
6.57           -0.72389839    -21.29200736
6.58           -0.72430688    -21.29199426
6.59           -0.72471283    -21.29198123
6.60           -0.72511618    -21.29196827
6.61           -0.72551687    -21.29195537
6.62           -0.72591486    -21.29194254
6.63           -0.72631007    -21.29192978
6.64           -0.72670247    -21.29191708
6.65           -0.72709198    -21.29190446
6.66           -0.72747858    -21.29189190
6.67           -0.72786219    -21.29187940
6.68           -0.72824276    -21.29186698
6.69           -0.72862026    -21.29185462
6.70           -0.72899461    -21.29184233
6.71           -0.72936579    -21.29183011
6.72           -0.72973373    -21.29181795
6.73           -0.73009840    -21.29180586
6.74           -0.73045973    -21.29179384
6.75           -0.73081769    -21.29178189
6.76           -0.73117223    -21.29177001
6.77           -0.73152330    -21.29175819
6.78           -0.73187087    -21.29174644
6.79           -0.73221488    -21.29173476
6.80           -0.73255529    -21.29172314
6.81           -0.73289207    -21.29171160
6.82           -0.73322517    -21.29170012
6.83           -0.73355455    -21.29168871
6.84           -0.73388017    -21.29167736
6.85           -0.73420199    -21.29166609
6.86           -0.73451997    -21.29165488
6.87           -0.73483408    -21.29164373
6.88           -0.73514429    -21.29163266
6.89           -0.73545054    -21.29162165
6.90           -0.73575282    -21.29161071
6.91           -0.73605108    -21.29159984
6.92           -0.73634530    -21.29158903
6.93           -0.73663543    -21.29157829
6.94           -0.73692146    -21.29156761
6.95           -0.73720334    -21.29155700
6.96           -0.73748105    -21.29154646
6.97           -0.73775456    -21.29153598
6.98           -0.73802384    -21.29152557
6.99           -0.73828886    -21.29151523
7.00           -0.73854961    -21.29150495
7.01           -0.73880604    -21.29149473
7.02           -0.73905814    -21.29148458
7.03           -0.73930588    -21.29147450
7.04           -0.73954924    -21.29146448
7.05           -0.73978819    -21.29145452
7.06           -0.74002273    -21.29144463
7.07           -0.74025281    -21.29143480
7.08           -0.74047843    -21.29142504
7.09           -0.74069957    -21.29141534
7.10           -0.74091620    -21.29140570
7.11           -0.74112831    -21.29139613
7.12           -0.74133588    -21.29138662
7.13           -0.74153890    -21.29137717
7.14           -0.74173735    -21.29136778
7.15           -0.74193122    -21.29135845
7.16           -0.74212050    -21.29134919
7.17           -0.74230517    -21.29133999
7.18           -0.74248521    -21.29133085
7.19           -0.74266063    -21.29132177
7.20           -0.74283141    -21.29131275
7.21           -0.74299754    -21.29130379
7.22           -0.74315901    -21.29129489
7.23           -0.74331581    -21.29128605
7.24           -0.74346795    -21.29127727
7.25           -0.74361540    -21.29126855
7.26           -0.74375818    -21.29125988
7.27           -0.74389626    -21.29125128
7.28           -0.74402966    -21.29124273
7.29           -0.74415836    -21.29123424
7.30           -0.74428237    -21.29122581
7.31           -0.74440168    -21.29121743
7.32           -0.74451629    -21.29120911
7.33           -0.74462621    -21.29120085
7.34           -0.74473143    -21.29119264
7.35           -0.74483196    -21.29118449
7.36           -0.74492780    -21.29117639
7.37           -0.74501896    -21.29116834
7.38           -0.74510543    -21.29116035
7.39           -0.74518723    -21.29115242
7.40           -0.74526436    -21.29114454
7.41           -0.74533682    -21.29113671
7.42           -0.74540463    -21.29112893
7.43           -0.74546779    -21.29112121
7.44           -0.74552631    -21.29111353
7.45           -0.74558020    -21.29110591
7.46           -0.74562947    -21.29109834
7.47           -0.74567413    -21.29109082
7.48           -0.74571420    -21.29108335
7.49           -0.74574969    -21.29107593
7.50           -0.74578060    -21.29106856
7.51           -0.74580696    -21.29106124
7.52           -0.74582878    -21.29105396
7.53           -0.74584608    -21.29104674
7.54           -0.74585886    -21.29103956
7.55           -0.74586715    -21.29103242
7.56           -0.74587097    -21.29102534
7.57           -0.74587033    -21.29101830
7.58           -0.74586526    -21.29101130
7.59           -0.74585576    -21.29100436
7.60           -0.74584187    -21.29099745
7.61           -0.74582360    -21.29099059
7.62           -0.74580098    -21.29098378
7.63           -0.74577403    -21.29097700
7.64           -0.74574276    -21.29097027
7.65           -0.74570721    -21.29096358
7.66           -0.74566739    -21.29095694
7.67           -0.74562334    -21.29095033
7.68           -0.74557507    -21.29094377
7.69           -0.74552262    -21.29093725
7.70           -0.74546601    -21.29093076
7.71           -0.74540526    -21.29092432
7.72           -0.74534041    -21.29091792
7.73           -0.74527149    -21.29091155
7.74           -0.74519851    -21.29090522
7.75           -0.74512152    -21.29089893
