Time (s)            Body0_x (m)     Body0_y (m)     Body0_z (m)     
0.01                0.0000          0.0000          -0.0001         
0.02                0.0000          0.0000          -0.0006         
0.03                0.0000          0.0000          -0.0015         
0.04                0.0000          0.0000          -0.0027         
0.05                0.0000          0.0000          -0.0044         
0.06                0.0000          0.0000          -0.0064         
0.07                0.0000          0.0000          -0.0088         
0.08                0.0000          0.0000          -0.0117         
0.09                0.0000          0.0000          -0.0149         
0.10                0.0000          0.0000          -0.0185         
0.11                0.0000          0.0000          -0.0225         
0.12                0.0000          0.0000          -0.0268         
0.13                0.0000          0.0000          -0.0316         
0.14                0.0000          0.0000          -0.0367         
0.15                0.0000          0.0000          -0.0423         
0.16                0.0000          0.0000          -0.0482         
0.17                0.0000          0.0000          -0.0545         
0.18                0.0000          0.0000          -0.0611         
0.19                0.0000          0.0000          -0.0682         
0.20                0.0000          0.0000          -0.0756         
0.21                0.0000          0.0000          -0.0834         
0.22                0.0000          0.0000          -0.0916         
0.23                0.0000          0.0000          -0.1002         
0.24                0.0000          0.0000          -0.1091         
0.25                0.0000          0.0000          -0.1183         
0.26                0.0000          0.0000          -0.1280         
0.27                0.0000          0.0000          -0.1380         
0.28                0.0000          0.0000          -0.1484         
0.29                0.0000          0.0000          -0.1591         
0.30                0.0000          0.0000          -0.1702         
0.31                0.0000          0.0000          -0.1816         
0.32                0.0000          0.0000          -0.1934         
0.33                0.0000          0.0000          -0.2056         
0.34                0.0000          0.0000          -0.2180         
0.35                0.0000          0.0000          -0.2309         
0.36                0.0000          0.0000          -0.2440         
0.37                0.0000          0.0000          -0.2575         
0.38                0.0000          0.0000          -0.2714         
0.39                0.0000          0.0000          -0.2855         
0.40                0.0000          0.0000          -0.3000         
0.41                0.0000          0.0000          -0.3148         
0.42                0.0000          0.0000          -0.3300         
0.43                0.0000          0.0000          -0.3454         
0.44                0.0000          0.0000          -0.3612         
0.45                0.0000          0.0000          -0.3772         
0.46                0.0000          0.0000          -0.3936         
0.47                0.0000          0.0000          -0.4103         
0.48                0.0000          0.0000          -0.4273         
0.49                0.0000          0.0000          -0.4445         
0.50                0.0000          0.0000          -0.4621         
0.51                0.0000          0.0000          -0.4800         
0.52                0.0000          0.0000          -0.4981         
0.53                0.0000          0.0000          -0.5165         
0.54                0.0000          0.0000          -0.5352         
0.55                0.0000          0.0000          -0.5542         
0.56                0.0000          0.0000          -0.5734         
0.57                0.0000          0.0000          -0.5929         
0.58                0.0000          0.0000          -0.6126         
0.59                0.0000          0.0000          -0.6326         
0.60                0.0000          0.0000          -0.6529         
0.61                0.0000          0.0000          -0.6734         
0.62                0.0000          0.0000          -0.6941         
0.63                0.0000          0.0000          -0.7151         
0.64                0.0000          0.0000          -0.7363         
0.65                0.0000          0.0000          -0.7577         
0.66                0.0000          0.0000          -0.7793         
0.67                0.0000          0.0000          -0.8012         
0.68                0.0000          0.0000          -0.8233         
0.69                0.0000          0.0000          -0.8456         
0.70                0.0000          0.0000          -0.8681         
0.71                0.0000          0.0000          -0.8907         
0.72                0.0000          0.0000          -0.9136         
0.73                0.0000          0.0000          -0.9367         
0.74                0.0000          0.0000          -0.9599         
0.75                0.0000          0.0000          -0.9834         
0.76                0.0000          0.0000          -1.0070         
0.77                0.0000          0.0000          -1.0307         
0.78                0.0000          0.0000          -1.0547         
0.79                0.0000          0.0000          -1.0788         
0.80                0.0000          0.0000          -1.1030         
0.81                0.0000          0.0000          -1.1274         
0.82                0.0000          0.0000          -1.1519         
0.83                0.0000          0.0000          -1.1766         
0.84                0.0000          0.0000          -1.2014         
0.85                0.0000          0.0000          -1.2263         
0.86                0.0000          0.0000          -1.2514         
0.87                0.0000          0.0000          -1.2766         
0.88                0.0000          0.0000          -1.3018         
0.89                0.0000          0.0000          -1.3272         
0.90                0.0000          0.0000          -1.3527         
0.91                0.0000          0.0000          -1.3783         
0.92                0.0000          0.0000          -1.4039         
0.93                0.0000          0.0000          -1.4297         
0.94                0.0000          0.0000          -1.4555         
0.95                0.0000          0.0000          -1.4814         
0.96                0.0000          0.0000          -1.5074         
0.97                0.0000          0.0000          -1.5335         
0.98                0.0000          0.0000          -1.5596         
0.99                0.0000          0.0000          -1.5857         
1.00                0.0000          0.0000          -1.6119         
1.01                0.0000          0.0000          -1.6381         
1.02                0.0000          0.0000          -1.6644         
1.03                0.0000          0.0000          -1.6907         
1.04                0.0000          0.0000          -1.7171         
1.05                0.0000          0.0000          -1.7434         
1.06                0.0000          0.0000          -1.7698         
1.07                0.0000          0.0000          -1.7962         
1.08                0.0000          0.0000          -1.8226         
1.09                0.0000          0.0000          -1.8489         
1.10                0.0000          0.0000          -1.8753         
