Time (s)	Body 1 Heave (m)	Body 2 Heave (m)
0	0.28	-21.29
0.01	0.279948943	-21.29000018
0.02	0.279776343	-21.29000121
0.03	0.27945984	-21.29000412
0.04	0.278991119	-21.29000993
0.05	0.278373251	-21.29001925
0.06	0.277613269	-21.29003215
0.07	0.276716667	-21.29004839
0.08	0.275685778	-21.29006771
0.09	0.274520778	-21.29009003
0.1	0.273221324	-21.29011552
0.11	0.271787577	-21.29014444
0.12	0.27022039	-21.29017711
0.13	0.268521028	-21.29021373
0.14	0.266690829	-21.29025448
0.15	0.264731017	-21.29029945
0.16	0.262642698	-21.29034873
0.17	0.260426921	-21.29040243
0.18	0.258084751	-21.29046069
0.19	0.255617293	-21.29052363
0.2	0.253025693	-21.29059142
0.21	0.25031112	-21.29066419
0.22	0.247474754	-21.29074209
0.23	0.244517784	-21.29082522
0.24	0.241441404	-21.29091373
0.25	0.238246821	-21.29100772
0.26	0.234935256	-21.29110733
0.27	0.231507938	-21.29121267
0.28	0.227966112	-21.29132387
0.29	0.224311033	-21.29144104
0.3	0.220543965	-21.29156431
0.31	0.216666185	-21.29169378
0.32	0.212678978	-21.29182957
0.33	0.208583641	-21.2919718
0.34	0.204381477	-21.29212057
0.35	0.200073802	-21.29227598
0.36	0.19566194	-21.29243816
0.37	0.191147223	-21.29260719
0.38	0.186530991	-21.29278319
0.39	0.181814593	-21.29296626
0.4	0.176999387	-21.29315649
0.41	0.172086736	-21.29335398
0.42	0.167078012	-21.29355883
0.43	0.161974593	-21.29377113
0.44	0.156777864	-21.29399098
0.45	0.151489218	-21.29421846
0.46	0.146110052	-21.29445366
0.47	0.140641768	-21.29469667
0.48	0.135085777	-21.29494758
0.49	0.129443493	-21.29520646
0.5	0.123716334	-21.29547341
0.51	0.117905725	-21.29574849
0.52	0.112013094	-21.29603178
0.53	0.106039872	-21.29632337
0.54	0.099987497	-21.29662332
0.55	0.093857408	-21.29693171
0.56	0.087651048	-21.2972486
0.57	0.081369862	-21.29757407
0.58	0.075015299	-21.29790818
0.59	0.068588811	-21.298251
0.6	0.06209185	-21.29860258
0.61	0.055525871	-21.298963
0.62	0.04889233	-21.2993323
0.63	0.042192686	-21.29971056
0.64	0.035428397	-21.30009781
0.65	0.028600923	-21.30049412
0.66	0.021711723	-21.30089953
0.67	0.014762259	-21.3013141
0.68	0.00775399	-21.30173788
0.69	0.000688376	-21.30217091
0.7	-0.006433123	-21.30261323
0.71	-0.01360905	-21.30306489
0.72	-0.020837945	-21.30352593
0.73	-0.028118354	-21.30399639
0.74	-0.035448822	-21.3044763
0.75	-0.042827896	-21.3049657
0.76	-0.050254126	-21.30546463
0.77	-0.057726064	-21.30597311
0.78	-0.065242264	-21.30649118
0.79	-0.072801284	-21.30701886
0.8	-0.080401683	-21.30755618
0.81	-0.088042026	-21.30810316
0.82	-0.09572088	-21.30865984
0.83	-0.103436816	-21.30922622
0.84	-0.111188409	-21.30980233
0.85	-0.118974239	-21.31038819
0.86	-0.12679289	-21.3109838
0.87	-0.134642949	-21.3115892
0.88	-0.142523012	-21.31220438
0.89	-0.150431677	-21.31282936
