Time (s)	Float Heave (m)	Spar Heave (m)
0	-0.62	-21.29
0.06	-0.620183966	-21.29000062
0.12	-0.620806309	-21.29000401
0.18	-0.621947501	-21.29001342
0.24	-0.623635045	-21.29003187
0.3	-0.625851949	-21.29006074
0.36	-0.628563138	-21.29009958
0.42	-0.631735567	-21.29014679
0.48	-0.635344605	-21.29020077
0.54	-0.639370886	-21.29026059
0.6	-0.64379468	-21.2903261
0.66	-0.648592313	-21.29039762
0.72	-0.653735544	-21.29047547
0.78	-0.659192697	-21.29055975
0.84	-0.664930087	-21.29065025
0.9	-0.670912916	-21.29074656
0.96	-0.677105588	-21.29084823
1.02	-0.683471728	-21.29095486
1.08	-0.689974189	-21.29106614
1.14	-0.696575191	-21.29118179
1.2	-0.703236578	-21.29130154
1.26	-0.709920114	-21.2914251
1.32	-0.71658778	-21.29155215
1.38	-0.723202034	-21.29168231
1.44	-0.729726047	-21.29181522
1.5	-0.736123923	-21.2919505
1.56	-0.742360915	-21.29208779
1.62	-0.748403628	-21.2922267
1.68	-0.754220224	-21.29236686
1.74	-0.759780604	-21.29250791
1.8	-0.765056579	-21.29264947
1.86	-0.770022026	-21.29279116
1.92	-0.774653023	-21.29293259
1.98	-0.778927971	-21.29307341
2.04	-0.7828277	-21.29321323
2.1	-0.78633555	-21.29335169
2.16	-0.789437441	-21.29348842
2.22	-0.792121924	-21.29362309
2.28	-0.794380207	-21.29375534
2.34	-0.796206174	-21.29388484
2.4	-0.797596375	-21.29401126
2.46	-0.798550009	-21.29413429
2.52	-0.799068881	-21.29425362
2.58	-0.799157348	-21.29436896
2.64	-0.798822251	-21.29448003
2.7	-0.798072826	-21.29458658
2.76	-0.796920609	-21.29468835
2.82	-0.795379319	-21.2947851
2.88	-0.793464742	-21.29487663
2.94	-0.791194587	-21.29496273
3	-0.788588351	-21.29504322
3.06	-0.78566716	-21.29511794
3.12	-0.782453615	-21.29518672
3.18	-0.77897162	-21.29524946
3.24	-0.775246217	-21.29530602
3.3	-0.771303405	-21.29535633
3.36	-0.76716997	-21.29540031
3.42	-0.762873303	-21.2954379
3.48	-0.75844122	-21.29546907
3.54	-0.753901789	-21.2954938
3.6	-0.749283151	-21.29551208
3.66	-0.744613349	-21.29552395
3.72	-0.73992016	-21.29552944
3.78	-0.735230932	-21.2955286
3.84	-0.730572427	-21.29552151
3.9	-0.725970673	-21.29550825
3.96	-0.721450817	-21.29548892
4.02	-0.717036997	-21.29546366
4.08	-0.712752215	-21.29543259
4.14	-0.708618219	-21.29539587
4.2	-0.704655404	-21.29535365
