Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
3.12                0.0786          4.5071
3.15                0.0772          4.4268
3.18                0.0758          4.3460
3.21                0.0744          4.2647
3.24                0.0730          4.1828
3.27                0.0715          4.1004
3.30                0.0701          4.0175
3.33                0.0686          3.9342
3.36                0.0672          3.8504
3.39                0.0657          3.7662
3.42                0.0642          3.6816
3.45                0.0627          3.5966
3.48                0.0613          3.5112
3.51                0.0598          3.4254
3.54                0.0583          3.3393
3.57                0.0567          3.2529
3.60                0.0552          3.1661
3.63                0.0537          3.0791
3.66                0.0522          2.9918
3.69                0.0507          2.9042
3.72                0.0491          2.8164
3.75                0.0476          2.7284
3.78                0.0461          2.6402
3.81                0.0445          2.5517
3.84                0.0430          2.4631
3.87                0.0414          2.3743
3.90                0.0399          2.2854
3.93                0.0383          2.1963
3.96                0.0368          2.1071
3.99                0.0352          2.0177
4.02                0.0336          1.9283
4.05                0.0321          1.8387
4.08                0.0305          1.7491
4.11                0.0289          1.6594
4.14                0.0274          1.5696
4.17                0.0258          1.4798
4.20                0.0242          1.3900
4.23                0.0227          1.3001
4.26                0.0211          1.2101
4.29                0.0195          1.1202
4.32                0.0180          1.0302
4.35                0.0164          0.9402
4.38                0.0148          0.8502
4.41                0.0133          0.7603
4.44                0.0117          0.6703
4.47                0.0101          0.5804
4.50                0.0086          0.4905
4.53                0.0070          0.4006
4.56                0.0054          0.3108
4.59                0.0039          0.2210
4.62                0.0023          0.1313
4.65                0.0007          0.0417
4.68               -0.0008         -0.0480
4.71               -0.0024         -0.1375
4.74               -0.0040         -0.2269
4.77               -0.0055         -0.3163
4.80               -0.0071         -0.4056
4.83               -0.0086         -0.4948
4.86               -0.0102         -0.5839
4.89               -0.0117         -0.6729
4.92               -0.0133         -0.7618
4.95               -0.0148         -0.8506
4.98               -0.0164         -0.9392
5.01               -0.0179         -1.0278
5.04               -0.0195         -1.1162
5.07               -0.0210         -1.2044
5.10               -0.0225         -1.2926
5.13               -0.0241         -1.3805
5.16               -0.0256         -1.4684
5.19               -0.0271         -1.5560
5.22               -0.0287         -1.6435
