Time (s)    Heave_Spectrum (m)    Heave_Eta (m)    Difference (m)
--------    ------------------    -------------    --------------
     0.000         -2.00017409       -2.00017409        0.0000e+00
     0.015         -2.00052087       -2.00052087        4.4409e-16
     0.030         -2.00103883       -2.00103883        8.8818e-16
     0.045         -2.00172635       -2.00172635        1.7764e-15
     0.060         -2.00258174       -2.00258174        2.2204e-15
     0.075         -2.00360318       -2.00360318        3.1086e-15
     0.090         -2.00478877       -2.00478877        3.9968e-15
     0.105         -2.00613651       -2.00613651        4.8850e-15
     0.120         -2.00764432       -2.00764432        6.2172e-15
     0.135         -2.00931000       -2.00931000        7.5495e-15
     0.150         -2.01113129       -2.01113129        8.8818e-15
     0.165         -2.01310582       -2.01310582        1.0658e-14
     0.180         -2.01523113       -2.01523113        1.2434e-14
     0.195         -2.01750468       -2.01750468        1.4211e-14
     0.210         -2.01992386       -2.01992386        1.6431e-14
     0.225         -2.02248594       -2.02248594        1.8652e-14
     0.240         -2.02518815       -2.02518815        2.0872e-14
     0.255         -2.02802761       -2.02802761        2.3093e-14
     0.270         -2.03100137       -2.03100137        2.5313e-14
     0.285         -2.03410641       -2.03410641        2.7978e-14
     0.300         -2.03733964       -2.03733964        3.0642e-14
     0.315         -2.04069788       -2.04069788        3.3307e-14
     0.330         -2.04417789       -2.04417789        3.6415e-14
     0.345         -2.04777636       -2.04777636        3.9524e-14
     0.360         -2.05148991       -2.05148991        4.2633e-14
     0.375         -2.05531512       -2.05531512        4.5741e-14
     0.390         -2.05924846       -2.05924846        4.8850e-14
     0.405         -2.06328639       -2.06328639        5.2403e-14
     0.420         -2.06742529       -2.06742529        5.5955e-14
     0.435         -2.07166147       -2.07166147        5.9952e-14
     0.450         -2.07599120       -2.07599120        6.3505e-14
     0.465         -2.08041072       -2.08041072        6.7502e-14
     0.480         -2.08491618       -2.08491618        7.1498e-14
     0.495         -2.08950372       -2.08950372        7.5495e-14
     0.510         -2.09416940       -2.09416940        7.9492e-14
     0.525         -2.09890928       -2.09890928        8.3489e-14
     0.540         -2.10371934       -2.10371934        8.7486e-14
     0.555         -2.10859555       -2.10859555        9.1926e-14
     0.570         -2.11353384       -2.11353384        9.6367e-14
     0.585         -2.11853009       -2.11853009        1.0081e-13
     0.600         -2.12358017       -2.12358017        1.0569e-13
     0.615         -2.12867992       -2.12867992        1.1058e-13
     0.630         -2.13382514       -2.13382514        1.1502e-13
     0.645         -2.13901162       -2.13901162        1.1990e-13
     0.660         -2.14423513       -2.14423513        1.2479e-13
     0.675         -2.14949142       -2.14949142        1.2923e-13
     0.690         -2.15477622       -2.15477622        1.3411e-13
     0.705         -2.16008525       -2.16008525        1.3900e-13
     0.720         -2.16541423       -2.16541423        1.4388e-13
     0.735         -2.17075884       -2.17075884        1.4877e-13
     0.750         -2.17611479       -2.17611479        1.5365e-13
     0.765         -2.18147777       -2.18147777        1.5898e-13
     0.780         -2.18684347       -2.18684347        1.6431e-13
     0.795         -2.19220759       -2.19220759        1.6964e-13
     0.810         -2.19756582       -2.19756582        1.7453e-13
     0.825         -2.20291387       -2.20291387        1.7986e-13
     0.840         -2.20824744       -2.20824744        1.8519e-13
     0.855         -2.21356227       -2.21356227        1.9051e-13
     0.870         -2.21885409       -2.21885409        1.9584e-13
     0.885         -2.22411866       -2.22411866        2.0117e-13
     0.900         -2.22935174       -2.22935174        2.0650e-13
     0.915         -2.23454913       -2.23454913        2.1183e-13
     0.930         -2.23970665       -2.23970665        2.1716e-13
     0.945         -2.24482014       -2.24482014        2.2249e-13
     0.960         -2.24988547       -2.24988547        2.2782e-13
     0.975         -2.25489853       -2.25489853        2.3315e-13
     0.990         -2.25985527       -2.25985527        2.3848e-13
     1.005         -2.26475164       -2.26475164        2.4380e-13
     1.020         -2.26958364       -2.26958364        2.4869e-13
     1.035         -2.27434733       -2.27434733        2.5402e-13
     1.050         -2.27903878       -2.27903878        2.5935e-13
     1.065         -2.28365411       -2.28365411        2.6468e-13
     1.080         -2.28818950       -2.28818950        2.6956e-13
     1.095         -2.29264117       -2.29264117        2.7489e-13
     1.110         -2.29700537       -2.29700537        2.8022e-13
