Time (s)            Body0_x (m)     Body0_y (m)     Body0_z (m)     Body1_x (m)     Body1_y (m)     Body1_z (m)     
0.06                0.0000          0.0000          -0.7199         0.0000          -0.0000         -21.2900        
0.12                -0.0000         0.0000          -0.7196         -0.0000         -0.0000         -21.2900        
0.18                -0.0000         0.0000          -0.7192         -0.0000         -0.0000         -21.2899        
0.24                -0.0000         0.0000          -0.7186         -0.0000         -0.0000         -21.2898        
0.30                -0.0000         0.0000          -0.7179         -0.0000         -0.0000         -21.2897        
0.36                -0.0001         0.0000          -0.7170         -0.0000         -0.0000         -21.2896        
0.42                -0.0001         0.0000          -0.7160         -0.0001         -0.0000         -21.2895        
0.48                -0.0001         0.0000          -0.7149         -0.0001         -0.0000         -21.2893        
0.54                -0.0002         0.0000          -0.7136         -0.0001         -0.0000         -21.2891        
0.60                -0.0003         0.0000          -0.7123         -0.0002         -0.0000         -21.2889        
0.66                -0.0004         0.0000          -0.7109         -0.0002         -0.0000         -21.2887        
0.72                -0.0005         0.0000          -0.7095         -0.0003         -0.0000         -21.2884        
0.78                -0.0007         0.0000          -0.7080         -0.0004         -0.0000         -21.2881        
0.84                -0.0008         0.0000          -0.7064         -0.0005         -0.0000         -21.2878        
0.90                -0.0010         0.0000          -0.7048         -0.0006         -0.0000         -21.2875        
0.96                -0.0013         0.0000          -0.7032         -0.0008         -0.0000         -21.2871        
1.02                -0.0015         0.0000          -0.7016         -0.0009         -0.0000         -21.2868        
1.08                -0.0018         0.0000          -0.7000         -0.0011         -0.0000         -21.2864        
1.14                -0.0021         0.0000          -0.6984         -0.0013         -0.0000         -21.2859        
1.20                -0.0025         0.0000          -0.6969         -0.0016         -0.0000         -21.2855        
1.26                -0.0028         0.0000          -0.6954         -0.0018         -0.0000         -21.2850        
1.32                -0.0033         0.0000          -0.6939         -0.0021         -0.0000         -21.2846        
1.38                -0.0037         0.0000          -0.6925         -0.0024         -0.0000         -21.2841        
1.44                -0.0042         0.0000          -0.6912         -0.0027         -0.0000         -21.2835        
1.50                -0.0048         0.0000          -0.6899         -0.0030         -0.0000         -21.2830        
1.56                -0.0054         0.0000          -0.6887         -0.0034         -0.0000         -21.2825        
1.62                -0.0060         0.0000          -0.6876         -0.0038         -0.0000         -21.2819        
1.68                -0.0066         0.0000          -0.6866         -0.0042         -0.0000         -21.2814        
1.74                -0.0074         0.0000          -0.6857         -0.0047         -0.0000         -21.2808        
1.80                -0.0081         0.0000          -0.6850         -0.0052         -0.0000         -21.2802        
1.86                -0.0089         0.0000          -0.6843         -0.0057         -0.0000         -21.2796        
1.92                -0.0098         0.0000          -0.6837         -0.0063         -0.0000         -21.2790        
1.98                -0.0107         0.0000          -0.6833         -0.0069         -0.0000         -21.2784        
2.04                -0.0116         0.0000          -0.6830         -0.0075         -0.0000         -21.2779        
2.10                -0.0126         0.0000          -0.6828         -0.0081         -0.0000         -21.2773        
2.16                -0.0136         0.0000          -0.6827         -0.0088         -0.0000         -21.2767        
2.22                -0.0147         0.0000          -0.6827         -0.0095         -0.0000         -21.2761        
2.28                -0.0158         0.0000          -0.6829         -0.0103         -0.0000         -21.2755        
2.34                -0.0170         0.0000          -0.6832         -0.0111         -0.0000         -21.2749        
2.40                -0.0183         0.0000          -0.6836         -0.0119         -0.0000         -21.2744        
2.46                -0.0195         0.0000          -0.6842         -0.0128         -0.0000         -21.2738        
2.52                -0.0209         0.0000          -0.6848         -0.0137         -0.0000         -21.2733        
2.58                -0.0223         0.0000          -0.6856         -0.0146         -0.0000         -21.2727        
2.64                -0.0237         0.0000          -0.6865         -0.0156         -0.0000         -21.2722        
2.70                -0.0252         0.0000          -0.6874         -0.0166         -0.0000         -21.2717        
2.76                -0.0267         0.0000          -0.6885         -0.0176         -0.0000         -21.2712        
2.82                -0.0283         0.0000          -0.6897         -0.0187         -0.0000         -21.2708        
2.88                -0.0299         0.0000          -0.6910         -0.0198         -0.0000         -21.2703        
2.94                -0.0316         0.0000          -0.6924         -0.0210         -0.0000         -21.2699        
3.00                -0.0333         0.0000          -0.6939         -0.0221         -0.0000         -21.2695        
3.06                -0.0351         0.0000          -0.6954         -0.0234         -0.0000         -21.2691        
3.12                -0.0369         0.0000          -0.6970         -0.0246         -0.0000         -21.2687        
3.18                -0.0388         0.0000          -0.6987         -0.0259         -0.0000         -21.2684        
3.24                -0.0407         0.0000          -0.7005         -0.0273         -0.0000         -21.2681        
3.30                -0.0426         0.0000          -0.7023         -0.0286         -0.0000         -21.2678        
3.36                -0.0446         0.0000          -0.7041         -0.0301         -0.0000         -21.2676        
3.42                -0.0467         0.0000          -0.7060         -0.0315         -0.0000         -21.2673        
3.48                -0.0487         0.0000          -0.7080         -0.0330         -0.0000         -21.2671        
3.54                -0.0509         0.0000          -0.7100         -0.0345         -0.0000         -21.2670        
3.60                -0.0530         0.0000          -0.7120         -0.0360         -0.0000         -21.2668        
3.66                -0.0552         0.0000          -0.7141         -0.0376         -0.0000         -21.2667        
3.72                -0.0575         0.0000          -0.7161         -0.0392         -0.0000         -21.2666        
3.78                -0.0598         0.0000          -0.7182         -0.0409         -0.0000         -21.2666        
3.84                -0.0621         0.0000          -0.7203         -0.0426         -0.0000         -21.2666        
3.90                -0.0644         0.0000          -0.7224         -0.0443         -0.0000         -21.2666        
3.96                -0.0668         0.0000          -0.7245         -0.0460         0.0000          -21.2667        
4.02                -0.0692         0.0000          -0.7266         -0.0478         0.0000          -21.2667        
4.08                -0.0717         0.0000          -0.7287         -0.0496         0.0000          -21.2668        
4.14                -0.0742         0.0000          -0.7307         -0.0515         0.0000          -21.2670        
4.20                -0.0767         0.0000          -0.7328         -0.0534         0.0000          -21.2672        
